Name,Market Value
Gianluigi Donnarumma,€40.00m
Arnau Tenas,€5.00m
Keylor Navas,€1.50m
Sergio Rico,€1.50m
Alexandre Letellier,€250k
Louis Mouquet,-
Marquinhos,€50.00m
Lucas Beraldo,€30.00m
Milan Skriniar,€30.00m
Presnel Kimpembe,€12.00m
Joane Gadou,€500k
Nuno Mendes,€55.00m
Lucas Hernández,€40.00m
Layvin Kurzawa,€1.80m
Serif Nhaga,-
Achraf Hakimi,€60.00m
Nordi Mukiele,€10.00m
Yoram Zague,€2.50m
Manuel Ugarte,€45.00m
Danilo Pereira,€8.00m
Warren Zaïre-Emery,€60.00m
Vitinha,€50.00m
Fabián Ruiz,€30.00m
Carlos Soler,€20.00m
Senny Mayulu,€5.00m
Cher Ndour,€4.00m
Ethan Mbappé,€1.50m
Kang-in Lee,€25.00m
Bradley Barcola,€50.00m
Ismaël Gharbi,€7.50m
Ousmane Dembélé,€60.00m
Marco Asensio,€20.00m
Kylian Mbappé,€180.00m
Gonçalo Ramos,€50.00m
Randal Kolo Muani,€45.00m
Hugo Ekitiké,€20.00m
Radoslaw Majecki,€5.00m
Philipp Köhn,€5.00m
Yann Lienard,€200k
Wilfried Singo,€25.00m
Mohammed Salisu,€15.00m
Guillermo Maripán,€10.00m
Thilo Kehrer,€10.00m
Chrislain Matsima,€7.00m
Ritchy Valme,€200k
Caio Henrique,€20.00m
Ismail Jakobs,€8.00m
Kassoum Ouattara,€8.00m
Antonin Cartillier,€200k
Vanderson,€20.00m
Ruben Aguilar,€5.00m
Nazim Babaï,€100k
Aurélien Platret,€100k
Youssouf Fofana,€30.00m
Denis Zakaria,€25.00m
Mohamed Camara,€20.00m
Soungoutou Magassa,€8.00m
Eliot Matazo,€5.00m
Edan Diop,€2.00m
Mamadou Coulibaly,€300k
Mayssam Benama,€150k
Aleksandr Golovin,€30.00m
Félix Lemaréchal,€5.00m
Saïmon Bouabré,€200k
Takumi Minamino,€20.00m
Eliesse Ben Seghir,€15.00m
Lucas Michal,€100k
Maghnes Akliouche,€25.00m
Krépin Diatta,€12.00m
Gelson Martins,€2.50m
Malamine Efekele,€500k
Folarin Balogun,€30.00m
Breel Embolo,€12.00m
Wissam Ben Yedder,€8.00m
Myron Boadu,€5.00m
