Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
1,Keyliane Abdallah,2023-2024,17,fr FRA,Marseille,fr Ligue 1,1,4,0.0,0,1,1,0,0,0,0,0,0,0,FW,7310786d
2,Yunis Abdelhamid,2023-2024,35,ma MAR,Reims,fr Ligue 1,31,2781,30.9,31,0,0,4,0,4,3,1,1,0,DF,32c2d95f
3,Salis Abdul Samed,2023-2024,23,gh GHA,Lens,fr Ligue 1,27,1519,16.9,17,10,4,0,0,0,0,0,0,0,MF,82464ce3
4,Adam Abeddou,2023-2024,26,fr FRA,Lens,fr Ligue 1,0,,,0,0,1,,,,,,,,MF,5b7aa908
5,Laurent Abergel,2023-2024,30,fr FRA,Lorient,fr Ligue 1,33,2860,31.8,32,1,0,2,1,3,2,0,0,0,MF,31626657
6,Matthis Abline,2023-2024,20,fr FRA,2 Teams,fr Ligue 1,22,1044,11.6,12,10,6,5,0,5,5,0,0,0,FW,0e46fa2f
7,Zakaria Aboukhlal,2023-2024,23,ma MAR,Toulouse,fr Ligue 1,13,754,8.4,9,4,0,3,0,3,2,1,1,0,MFFW,c2a6033c
8,Mohamed Achi,2023-2024,21,fr FRA,Nantes,fr Ligue 1,0,,,0,0,1,,,,,,,,MF,1e93fc5d
9,Akor Adams,2023-2024,23,ng NGA,Montpellier,fr Ligue 1,32,2252,25.0,27,5,1,8,1,9,8,0,0,0,FW,2ccd39ed
10,Nathaniel Adjei,2023-2024,20,gh GHA,Lorient,fr Ligue 1,15,1243,13.8,14,1,0,0,0,0,0,0,0,0,DF,c55de1f5
11,Adryelson,2023-2024,25,br BRA,Lyon,fr Ligue 1,2,6,0.1,0,2,12,0,0,0,0,0,0,0,DFFW,e980e78d
12,Adson,2023-2024,22,br BRA,Nantes,fr Ligue 1,8,238,2.6,2,6,0,0,0,0,0,0,0,0,MFFW,eda38706
13,Loïc Affamah,2023-2024,21,fr FRA,Nantes,fr Ligue 1,0,,,0,0,1,,,,,,,,FW,f1a29ddc
14,Emmanuel Agbadou,2023-2024,26,ci CIV,Reims,fr Ligue 1,32,2596,28.8,29,3,1,1,1,2,1,0,0,0,DF,75f1ed80
15,Ruben Aguilar,2023-2024,30,fr FRA,2 Teams,fr Ligue 1,25,1922,21.4,22,3,5,1,3,4,1,0,0,0,DF,3dd738a1
16,Jean-Eudes Aholou,2023-2024,29,ci CIV,Strasbourg,fr Ligue 1,0,,,0,0,6,,,,,,,,MF,48b28bfd
17,Tosin Aiyegun,2023-2024,25,bj BEN,Lorient,fr Ligue 1,19,902,10.0,10,9,3,2,0,2,2,0,0,0,MFFW,9c4f39b3
18,Sergio Akieme,2023-2024,25,es ESP,Reims,fr Ligue 1,13,818,9.1,8,5,2,2,0,2,2,0,0,0,DF,06efa9dc
19,Maghnes Akliouche,2023-2024,21,fr FRA,Monaco,fr Ligue 1,28,1613,17.9,18,10,3,7,4,11,7,0,0,0,MFFW,b625b241
20,Paul Akouokou,2023-2024,25,ci CIV,Lyon,fr Ligue 1,8,307,3.4,4,4,7,0,0,0,0,0,0,0,MF,31f5b89b
21,Sofiane Alakouch,2023-2024,25,ma MAR,Metz,fr Ligue 1,0,,,0,0,1,,,,,,,,DFMF,5314e067
22,Aboubacar Ali,2023-2024,17,fr FRA,Strasbourg,fr Ligue 1,9,130,1.4,1,8,2,0,1,1,0,0,0,0,MFFW,133d2aa5
23,Mohamed Ali Cho,2023-2024,19,fr FRA,Nice,fr Ligue 1,17,861,9.6,11,6,0,1,2,3,1,0,0,0,FW,f8405304
24,Nabil Alioui,2023-2024,24,fr FRA,Le Havre,fr Ligue 1,18,1009,11.2,12,6,1,4,1,5,4,0,0,0,MFFW,b386310a
25,Jim Allevinah,2023-2024,28,ga GAB,Clermont Foot,fr Ligue 1,29,1861,20.7,22,7,1,2,1,3,2,0,0,0,MFDF,1956b948
26,Téo Allix,2023-2024,19,fr FRA,Montpellier,fr Ligue 1,0,,,0,0,8,,,,,,,,DF,d609ec7d
27,Skelly Alvero,2023-2024,21,fr FRA,Lyon,fr Ligue 1,8,426,4.7,6,2,1,1,0,1,1,0,0,0,MF,add37c13
28,Papa Amadou Diallo,2023-2024,19,sn SEN,Metz,fr Ligue 1,16,889,9.9,9,7,8,2,1,3,2,0,0,0,FW,d638ab17
29,Jordan Amavi,2023-2024,29,fr FRA,Brest,fr Ligue 1,2,91,1.0,1,1,12,1,0,1,1,0,0,0,DF,22721b88
30,Kelvin Amian,2023-2024,25,fr FRA,Nantes,fr Ligue 1,12,798,8.9,11,1,0,0,1,1,0,0,0,0,DF,bcc81786
31,Michael Amir Murillo,2023-2024,27,pa PAN,Marseille,fr Ligue 1,16,997,11.1,10,6,3,3,2,5,3,0,0,0,DF,349cae8f
32,Ayoub Amraoui,2023-2024,19,ma MAR,Nice,fr Ligue 1,0,,,0,0,7,,,,,,,,DF,ae11ba3d
33,Benjamin André,2023-2024,32,fr FRA,Lille,fr Ligue 1,30,2570,28.6,29,1,0,4,0,4,4,0,0,0,MF,ef9c1c95
34,Komnen Andrić,2023-2024,28,rs SRB,Clermont Foot,fr Ligue 1,7,169,1.9,1,6,6,0,0,0,0,0,0,0,FW,af3ddb2e
35,Ângelo,2023-2024,18,br BRA,Strasbourg,fr Ligue 1,21,1094,12.2,11,10,1,0,3,3,0,0,0,0,FWMF,737945d9
36,Stredair Appuah,2023-2024,19,fr FRA,Nantes,fr Ligue 1,4,84,0.9,0,4,8,0,0,0,0,0,0,0,FWMF,42f0113f
37,Elies Araar,2023-2024,16,tn TUN,Strasbourg,fr Ligue 1,0,,,0,0,2,,,,,,,,DF,81d33617
38,Ylies Aradj,2023-2024,18,fr FRA,Toulouse,fr Ligue 1,0,,,0,0,6,,,,,,,,DF,209528d3
39,Paul Argney,2023-2024,17,fr FRA,Le Havre,fr Ligue 1,0,,,0,0,1,,,,,,,,GK,cad4009e
40,Yoël Armougom,2023-2024,25,fr FRA,Clermont Foot,fr Ligue 1,5,234,2.6,2,3,19,0,0,0,0,0,0,0,DFMF,9dd5da03
41,Hákon Arnar Haraldsson,2023-2024,20,is ISL,Lille,fr Ligue 1,26,1284,14.3,15,11,7,2,0,2,2,0,0,0,FWMF,e2ae54db
42,Mohamed El Arouch,2023-2024,19,fr FRA,Lyon,fr Ligue 1,1,2,0.0,0,1,4,0,0,0,0,0,0,0,FW,508a9011
43,Marco Asensio,2023-2024,27,es ESP,Paris S-G,fr Ligue 1,19,1113,12.4,13,6,5,4,5,9,4,0,0,0,MFFW,45af8a54
44,Joel Asoro,2023-2024,24,se SWE,Metz,fr Ligue 1,20,848,9.4,10,10,4,2,1,3,2,0,0,0,FWMF,13e827f8
45,Lorenz Assignon,2023-2024,23,tg TOG,Rennes,fr Ligue 1,14,1011,11.2,12,2,2,1,1,2,1,0,0,0,DF,b026bbf6
46,Dehmaine Assoumani,2023-2024,18,fr FRA,Nantes,fr Ligue 1,0,,,0,0,2,,,,,,,,FW,fb32896c
47,Youcef Atal,2023-2024,27,dz ALG,Nice,fr Ligue 1,6,359,4.0,5,1,2,1,0,1,1,0,0,0,DF,6a827d8e
