Name,Market Value
Matej Kovar,€7.00m
Patrick Pentz,€3.00m
Lukas Hradecky,€2.50m
Niklas Lomb,€250k
Edmond Tapsoba,€45.00m
Piero Hincapié,€40.00m
Odilon Kossounou,€35.00m
Jonathan Tah,€30.00m
Reno Münz,-
Madi Monamay,-
Alejandro Grimaldo,€45.00m
Josip Stanisic,€28.00m
Arthur,€5.00m
Timothy Fosu-Mensah,€800k
Granit Xhaka,€20.00m
Robert Andrich,€17.00m
Exequiel Palacios,€45.00m
Nadiem Amiri,€7.00m
Gustavo Puerta,€3.00m
Noah Mbamba,€2.50m
Jeremie Frimpong,€50.00m
Nathan Tella,€23.00m
Florian Wirtz,€130.00m
Jonas Hofmann,€10.00m
Ayman Aourir,€300k
Francis Onyeka,-
Amine Adli,€30.00m
Adam Hlozek,€12.00m
Victor Boniface,€40.00m
Patrik Schick,€22.00m
Borja Iglesias,€5.00m
Ken Izekor,-
Alexander Nübel,€12.00m
Fabian Bredlow,€1.00m
Dennis Seimen,€1.00m
Florian Schock,€200k
Hiroki Ito,€30.00m
Konstantinos Mavropanos,€20.00m
Waldemar Anton,€20.00m
Dan-Axel Zagadou,€10.00m
Anthony Rouault,€7.00m
Anrie Chase,€350k
Maximilian Mittelstädt,€17.00m
Moussa Cissé,€175k
Josha Vagnoman,€10.00m
Leonidas Stergiou,€5.00m
Pascal Stenzel,€2.50m
Angelo Stiller,€20.00m
Wataru Endo,€13.00m
Atakan Karazor,€12.00m
Samuele Di Benedetto,€450k
Mahmoud Dahoud,€6.00m
Nikolas Nartey,€600k
Borna Sosa,€7.50m
Enzo Millot,€30.00m
Woo-yeong Jeong,€3.50m
Lilian Egloff,€800k
Genki Haraguchi,€500k
Laurin Ulrich,€500k
Raul Paula,€350k
Chris Führich,€28.00m
Silas,€10.00m
Jamie Leweling,€9.00m
Roberto Massimo,€800k
Luca Raimund,€500k
Serhou Guirassy,€40.00m
Deniz Undav,€25.00m
Mohamed Sankoh,€700k
Jovan Milosevic,€700k
Thomas Kastanaras,€500k
Manuel Neuer,€4.00m
Daniel Peretz,€3.00m
Sven Ulreich,€700k
Max Schmitt,€500k
Tom Ritzy Hülsmann,€250k
Matthijs de Ligt,€65.00m
Benjamin Pavard,€50.00m
Dayot Upamecano,€45.00m
Min-jae Kim,€45.00m
Eric Dier,€12.00m
Tarek Buchmann,€500k
Luca Denk,€250k
Alphonso Davies,€50.00m
Raphaël Guerreiro,€12.00m
Frans Krätzig,€2.00m
Adam Aznou,€900k
Matteo Pérez Vinlöf,€600k
Noussair Mazraoui,€30.00m
Sacha Boey,€18.00m
Bouna Sarr,€1.50m
Max Scholze,€700k
Joshua Kimmich,€50.00m
Aleksandar Pavlovic,€30.00m
Noël Aséko Nkili,€750k
Ryan Gravenberch,€35.00m
Leon Goretzka,€30.00m
Konrad Laimer,€30.00m
Taichi Fukui,€700k
Jamal Musiala,€120.00m
Lovro Zvonarek,€3.00m
Jonathan Asp-Jensen,€1.30m
Kingsley Coman,€50.00m
Serge Gnabry,€40.00m
Mathys Tel,€40.00m
Bryan Zaragoza,€12.00m
Leroy Sané,€70.00m
Thomas Müller,€8.00m
Harry Kane,€100.00m
Eric-Maxim Choupo-Moting,€2.50m
Péter Gulácsi,€3.00m
Janis Blaswich,€2.00m
Timo Schlieck,€500k
Leopold Zingerle,€400k
Castello Lukeba,€40.00m
Mohamed Simakan,€35.00m
El Chadaille Bitshiabu,€12.00m
Willi Orbán,€10.00m
Lukas Klostermann,€8.00m
Jonathan Norbye,-
Tim Köhler,-
David Raum,€20.00m
Christopher Lenz,€1.50m
Benjamin Henrichs,€20.00m
Hugo Novoa,€2.50m
Xaver Schlager,€28.00m
Amadou Haidara,€20.00m
Nicolas Seiwald,€16.00m
Kevin Kampl,€3.50m
Ilaix Moriba,€3.00m
Xavi Simons,€80.00m
Dani Olmo,€50.00m
Eljif Elmas,€20.00m
Christoph Baumgartner,€18.00m
Fábio Carvalho,€14.00m
Nuha Jatta,-
Timo Werner,€17.00m
Emil Forsberg,€5.00m
Loïs Openda,€60.00m
Benjamin Sesko,€50.00m
Yussuf Poulsen,€6.00m
Yannick Eduardo,-
Gregor Kobel,€40.00m
Marcel Lotka,€1.30m
Alexander Meyer,€800k
Nico Schlotterbeck,€40.00m
Niklas Süle,€15.00m
Mats Hummels,€5.00m
Hendry Blank,€2.50m
Antonios Papadopoulos,€1.00m
Ian Maatsen,€40.00m
Ramy Bensebaini,€7.00m
Guille Bueno,€600k
Julian Ryerson,€20.00m
Marius Wolf,€3.00m
Thomas Meunier,€2.50m
Mateu Morey,€800k
Salih Özcan,€10.00m
Emre Can,€10.00m
Abdoulaye Kamara,€1.50m
Felix Nmecha,€20.00m
Marcel Sabitzer,€20.00m
Kjell Wätjen,€2.00m
Ole Pohlmann,€1.50m
Julian Brandt,€40.00m
Giovanni Reyna,€18.00m
Marco Reus,€5.00m
Jadon Sancho,€30.00m
Karim Adeyemi,€28.00m
Jamie Gittens,€28.00m
Julien Duranville,€8.50m
Thorgan Hazard,€5.00m
Donyell Malen,€40.00m
Samuel Bamba,€800k
Youssoufa Moukoko,€22.00m
Niclas Füllkrug,€15.00m
Sébastien Haller,€10.00m
Paris Brunner,-
Kevin Trapp,€4.00m
Kauã Santos,€1.50m
Simon Simoni,€500k
Jens Grahl,€200k
Luke Gauer,€100k
Nils Ramming,-
Willian Pacho,€35.00m
Robin Koch,€18.00m
Tuta,€12.00m
Hrvoje Smolcic,€3.00m
Nnamdi Collins,€1.00m
Dario Gebuhr,€400k
Davis Bautista,€250k
