1,Brenden Aaronson,2023-2024,22,us USA,Union Berlin,de Bundesliga,30,1267,14.1,14,16,2,2,2,4,2,0,0,0,MFFW,5bc43860
2,Paxten Aaronson,2023-2024,19,us USA,Eint Frankfurt,de Bundesliga,7,101,1.1,1,6,7,0,1,1,0,0,0,0,MF,4cd41883
3,Junior Adamu,2023-2024,22,at AUT,Freiburg,de Bundesliga,15,105,1.2,0,15,13,0,0,0,0,0,0,0,FWMF,82e12fe7
4,Sargis Adamyan,2023-2024,30,am ARM,Köln,de Bundesliga,20,801,8.9,8,12,5,1,2,3,1,0,0,0,FWMF,22919e97
5,Karim Adeyemi,2023-2024,21,de GER,Dortmund,de Bundesliga,21,913,10.1,10,11,3,3,1,4,3,0,0,0,FWMF,501055d8
6,Amine Adli,2023-2024,23,ma MAR,Leverkusen,de Bundesliga,23,898,10.0,8,15,4,4,6,10,4,0,0,0,MFFW,dcfb17f4
7,Felix Agu,2023-2024,23,de GER,Werder Bremen,de Bundesliga,24,1614,17.9,19,5,5,0,0,0,0,0,0,0,DFMF,cb6d81b3
8,Ludovic Ajorque,2023-2024,29,fr FRA,Mainz 05,de Bundesliga,26,1360,15.1,15,11,6,2,0,2,2,0,2,2,FW,462475ed
9,Kevin Akpoguma,2023-2024,28,ng NGA,Hoffenheim,de Bundesliga,17,1097,12.2,11,6,11,0,0,0,0,0,0,0,DF,6ec6fde0
10,Faride Alidou,2023-2024,22,de GER,Köln,de Bundesliga,26,1282,14.2,14,12,2,4,0,4,4,0,0,0,FWMF,00f518d8
11,Skelly Alvero,2023-2024,21,fr FRA,Werder Bremen,de Bundesliga,6,123,1.4,1,5,3,1,0,1,1,0,0,0,MF,add37c13
12,Nadiem Amiri,2023-2024,26,de GER,2 Teams,de Bundesliga,23,1401,15.6,16,7,11,1,4,5,1,0,1,1,MF,555d5edd
13,Kofi Amoako,2023-2024,18,de GER,Wolfsburg,de Bundesliga,2,2,0.0,0,2,4,0,0,0,0,0,0,0,MF,b8e17ca3
14,Robert Andrich,2023-2024,28,de GER,Leverkusen,de Bundesliga,28,1690,18.8,18,10,6,4,2,6,4,0,0,0,MFDF,e0b113a7
15,Spyridon Angelidis,2023-2024,18,gr GRE,Werder Bremen,de Bundesliga,0,,,0,0,1,,,,,,,,GK,8a831e10
16,Waldemar Anton,2023-2024,27,de GER,Stuttgart,de Bundesliga,33,2886,32.1,32,1,0,0,3,3,0,0,0,0,DF,5e66fa06
17,Christopher Antwi-Adjei,2023-2024,29,gh GHA,Bochum,de Bundesliga,25,1216,13.5,11,14,2,2,2,4,2,0,0,0,FWMF,0a3f6cde
18,Asaf Arania,2023-2024,17,il ISR,Darmstadt 98,de Bundesliga,1,6,0.1,0,1,2,0,0,0,0,0,0,0,MF,d61c07fd
19,Maximilian Arnold,2023-2024,29,de GER,Wolfsburg,de Bundesliga,30,2506,27.8,27,3,0,2,1,3,2,0,0,0,MF,86e119e0
20,Arthur,2023-2024,20,br BRA,Leverkusen,de Bundesliga,4,184,2.0,2,2,4,0,2,2,0,0,0,0,DF,8a958856
21,Takuma Asano,2023-2024,28,jp JPN,Bochum,de Bundesliga,29,1986,22.1,26,3,0,6,1,7,6,0,0,0,FWMF,13ddc856
22,Jonathan Asp Jensen,2023-2024,17,dk DEN,Bayern Munich,de Bundesliga,1,1,0.0,0,1,0,0,0,0,0,0,0,0,FW,25355bd8
23,Noah Atubolu,2023-2024,21,de GER,Freiburg,de Bundesliga,34,3060,34.0,34,0,0,0,0,0,0,0,0,0,GK,dbd1b101
24,Adam Aznou,2023-2024,17,ma MAR,Bayern Munich,de Bundesliga,0,,,0,0,6,,,,,,,,DF,e678d983
25,Matthias Bader,2023-2024,26,de GER,Darmstadt 98,de Bundesliga,24,1802,20.0,21,3,0,1,2,3,1,0,0,0,DFMF,3489184e
26,Elias Bakatukanda,2023-2024,19,de GER,Köln,de Bundesliga,0,,,0,0,3,,,,,,,,MF,6bcf5582
27,Ridle Baku,2023-2024,25,de GER,Wolfsburg,de Bundesliga,33,2013,22.4,22,11,0,1,0,1,1,0,0,0,DFMF,442b56fa
28,Samuel Bamba,2023-2024,19,de GER,Dortmund,de Bundesliga,2,47,0.5,0,2,2,0,0,0,0,0,0,0,FW,489d4867
29,Aymen Barkok,2023-2024,25,ma MAR,Mainz 05,de Bundesliga,13,321,3.6,1,12,0,1,0,1,1,0,1,1,MFFW,a2a85828
30,Leandro Barreiro Martins,2023-2024,23,lu LUX,Mainz 05,de Bundesliga,31,2606,29.0,29,2,0,4,1,5,4,0,0,0,MF,00242b75
31,Daniel Batz,2023-2024,32,de GER,Mainz 05,de Bundesliga,4,360,4.0,4,0,16,0,0,0,0,0,0,0,GK,ec759ba1
32,Maximilian Bauer,2023-2024,23,de GER,Augsburg,de Bundesliga,14,810,9.0,9,5,15,1,0,1,1,0,0,0,DF,44a20f0c
33,Elias Baum,2023-2024,17,de GER,Eint Frankfurt,de Bundesliga,4,28,0.3,0,4,1,0,0,0,0,0,0,0,DFMF,54d2b378
34,Oliver Baumann,2023-2024,33,de GER,Hoffenheim,de Bundesliga,34,3060,34.0,34,0,0,0,1,1,0,0,0,0,GK,47064058
35,Christoph Baumgartner,2023-2024,23,at AUT,RB Leipzig,de Bundesliga,32,1158,12.9,11,21,2,5,1,6,5,0,0,0,MFFW,437f2b00
36,Mika Baur,2023-2024,19,de GER,Freiburg,de Bundesliga,0,,,0,0,4,,,,,,,,MF,e4edafab
37,Ihlas Bebou,2023-2024,29,tg TOG,Hoffenheim,de Bundesliga,32,1636,18.2,16,16,2,7,5,12,7,0,0,0,FWDF,a53b661f
38,Adrian Beck,2023-2024,26,de GER,Heidenheim,de Bundesliga,23,974,10.8,11,12,5,1,1,2,1,0,0,0,MFFW,616c09f5
39,Sheraldo Becker,2023-2024,28,sr SUR,Union Berlin,de Bundesliga,11,645,7.2,7,4,0,0,1,1,0,0,0,0,FWMF,8eb55dbb
40,Chris Bedia,2023-2024,27,ci CIV,Union Berlin,de Bundesliga,7,145,1.6,0,7,8,1,0,1,1,0,0,0,FWMF,ec11ecf8
41,Donny van de Beek,2023-2024,26,nl NED,Eint Frankfurt,de Bundesliga,8,357,4.0,4,4,7,0,0,0,0,0,0,0,MFFW,50dc94ce
42,Kevin Behrens,2023-2024,32,de GER,2 Teams,de Bundesliga,31,1878,20.9,21,10,2,5,1,6,5,0,0,0,FW,30ae134d
43,Morten Behrens,2023-2024,26,de GER,Darmstadt 98,de Bundesliga,0,,,0,0,12,,,,,,,,GK,9c273730
44,Maximilian Beier,2023-2024,20,de GER,Hoffenheim,de Bundesliga,33,2420,26.9,29,4,0,16,1,17,16,0,0,0,FWMF,5db45ee5
45,Stefan Bell,2023-2024,31,de GER,Mainz 05,de Bundesliga,10,666,7.4,8,2,4,0,0,0,0,0,0,0,DF,857a5abe
46,Ramy Bensebaini,2023-2024,28,dz ALG,Dortmund,de Bundesliga,17,1033,11.5,11,6,3,0,0,0,0,0,0,0,DF,378825c7
47,Mergim Berisha,2023-2024,25,de GER,2 Teams,de Bundesliga,8,266,3.0,2,6,2,0,0,0,0,0,0,0,FW,eb6e14be
48,Bernardo,2023-2024,28,br BRA,Bochum,de Bundesliga,33,2924,32.5,33,0,0,1,0,1,1,0,0,0,DF,17370b95
49,Matúš Bero,2023-2024,27,sk SVK,Bochum,de Bundesliga,24,1661,18.5,20,4,0,1,1,2,1,0,0,0,MFFW,b5e0af76
50,Jan-Niklas Beste,2023-2024,24,de GER,Heidenheim,de Bundesliga,31,2603,28.9,31,0,0,8,11,19,8,0,1,1,FWMF,57382429
51,Pep Biel,2023-2024,26,es ESP,Augsburg,de Bundesliga,11,285,3.2,0,11,3,0,0,0,0,0,0,0,MFFW,1c59240b
52,Tom Bischof,2023-2024,18,de GER,Hoffenheim,de Bundesliga,13,178,2.0,1,12,15,0,2,2,0,0,0,0,MFFW,07d3bfec
53,Leonardo Bittencourt,2023-2024,29,de GER,Werder Bremen,de Bundesliga,29,1578,17.5,19,10,3,1,2,3,1,0,0,0,MF,dc62fbee
54,Hendry Blank,2023-2024,18,de GER,Dortmund,de Bundesliga,1,45,0.5,0,1,4,0,0,0,0,0,0,0,DF,76abb354
55,Janis Blaswich,2023-2024,32,de GER,RB Leipzig,de Bundesliga,21,1890,21.0,21,0,13,0,0,0,0,0,0,0,GK,663e080e
56,Sacha Boey,2023-2024,22,fr FRA,Bayern Munich,de Bundesliga,2,109,1.2,1,1,2,0,0,0,0,0,0,0,DF,6c8ddd52
57,Victor Boniface,2023-2024,22,ng NGA,Leverkusen,de Bundesliga,23,1546,17.2,18,5,0,14,8,22,10,4,4,0,FW,b146275b
58,Leonardo Bonucci,2023-2024,36,it ITA,Union Berlin,de Bundesliga,7,460,5.1,6,1,5,1,0,1,0,1,1,0,DF,52ec54d0
59,Yvandro Borges Sanches,2023-2024,19,lu LUX,Gladbach,de Bundesliga,3,18,0.2,0,3,4,0,0,0,0,0,0,0,MFFW,36578017
60,Sebastiaan Bornauw,2023-2024,24,be BEL,Wolfsburg,de Bundesliga,20,1431,15.9,16,4,7,0,0,0,0,0,0,0,DF,01834aa0
61,Rafael Borré,2023-2024,27,co COL,Werder Bremen,de Bundesliga,19,991,11.0,11,8,1,4,0,4,4,0,0,0,FW,c68da769
