Name,Market Value
David Raya,€35.00m
Aaron Ramsdale,€25.00m
Matt Turner,€7.00m
Karl Hein,€2.00m
Arthur Okonkwo,€1.80m
William Saliba,€80.00m
Gabriel Magalhães,€70.00m
Jurrien Timber,€38.00m
Jakub Kiwior,€30.00m
Rob Holding,€5.00m
Ayden Heaven,€300k
Oleksandr Zinchenko,€38.00m
Kieran Tierney,€12.00m
Lino Sousa,€2.00m
Ben White,€55.00m
Takehiro Tomiyasu,€35.00m
Reuell Walters,€4.00m
Cédric Soares,€2.00m
James Sweet,€250k
Declan Rice,€120.00m
Thomas Partey,€18.00m
Jorginho,€12.00m
Mohamed Elneny,€3.50m
Myles Lewis-Skelly,€2.00m
Bradley Ibrahim,€400k
Albert Sambi Lokonga,€15.00m
Mauro Bandeira,€200k
Martin Ødegaard,€110.00m
Emile Smith Rowe,€22.00m
Fábio Vieira,€22.00m
Ethan Nwaneri,€8.00m
Gabriel Martinelli,€70.00m
Leandro Trossard,€35.00m
Charles Sagoe Jr,€600k
Bukayo Saka,€140.00m
Reiss Nelson,€15.00m
Amario Cozier-Duberry,€2.00m
Kai Havertz,€70.00m
Gabriel Jesus,€65.00m
Eddie Nketiah,€30.00m
Emiliano Martínez,€28.00m
Joe Gauci,€1.50m
Robin Olsen,€1.50m
Filip Marschall,€800k
Oliwier Zych,€800k
Sam Proctor,€250k
James Wright,€200k
Lander Emery,-
Pau Torres,€45.00m
Ezri Konsa,€35.00m
Diego Carlos,€16.00m
Tyrone Mings,€13.00m
Clément Lenglet,€10.00m
Calum Chambers,€4.00m
Kortney Hause,€2.00m
Josh Feeney,€500k
Finley Munroe,€100k
Álex Moreno,€13.00m
Lucas Digne,€12.00m
Lino Sousa,€2.00m
Sebastian Revan,€350k
Travis Patterson,-
Matty Cash,€28.00m
Kaine Kesler-Hayden,€2.20m
Boubacar Kamara,€38.00m
Leander Dendoncker,€7.00m
Douglas Luiz,€70.00m
John McGinn,€30.00m
Youri Tielemans,€25.00m
Tim Iroegbunam,€4.00m
Jacob Ramsey,€35.00m
Emiliano Buendía,€22.00m
Nicolò Zaniolo,€20.00m
Morgan Rogers,€15.00m
Philippe Coutinho,€7.50m
Omari Kellyman,€1.00m
Tommi O'Reilly,€200k
Jaden Philogene,€15.00m
Kadan Young,-
Moussa Diaby,€55.00m
Leon Bailey,€42.00m
Bertrand Traoré,€9.00m
Ollie Watkins,€65.00m
Jhon Durán,€20.00m
Cameron Archer,€13.00m
Mark Travers,€3.50m
Andrei Radu,€3.00m
Neto,€2.50m
Will Dennis,€350k
Darren Randolph,€300k
Cameron Plain,€100k
Callan McKenna,€100k
Ilya Zabarnyi,€32.00m
Marcos Senesi,€22.00m
Lloyd Kelly,€18.00m
Chris Mepham,€6.00m
James Hill,€2.00m
Max Kinsey,€150k
Milos Kerkez,€20.00m
Ben Greenwood,-
Max Aarons,€16.00m
Ryan Fredericks,€1.00m
Adam Smith,€1.00m
Tyler Adams,€15.00m
Philip Billing,€22.00m
Alex Scott,€20.00m
Lewis Cook,€12.00m
Ryan Christie,€12.00m
Joe Rothwell,€2.50m
Gavin Kilkenny,€300k
Romain Faivre,€15.00m
Marcus Tavernier,€20.00m
Hamed Junior Traoré,€17.00m
Emiliano Marcondes,€1.50m
Dango Ouattara,€20.00m
Luis Sinisterra,€17.00m
Justin Kluivert,€14.00m
Jaidon Anthony,€6.00m
Antoine Semenyo,€10.00m
David Brooks,€8.00m
Dominic Sadi,€100k
Michael Dacosta,-
Dominic Solanke,€40.00m
Enes Ünal,€18.00m
Kieffer Moore,€2.00m
Jamal Lowe,€1.50m
Daniel Adu-Adjei,-
Mark Flekken,€12.00m
Thomas Strakosha,€3.00m
Hákon Rafn Valdimarsson,€2.50m
Matthew Cox,€800k
Ellery Balcombe,€300k
Vincent Angelini,€100k
Nathan Collins,€25.00m
Kristoffer Ajer,€15.00m
Ethan Pinnock,€12.00m
Zanka,€1.00m
Ben Mee,€1.00m
Ji-soo Kim,€600k
Charlie Goode,€500k
Benjamin Arthur,€250k
Benjamin Fredrick,€150k
Rico Henry,€20.00m
Sergio Reguilón,€12.00m
Val Adedokun,€150k
Aaron Hickey,€28.00m
Mads Roerslev,€10.00m
Fin Stevens,€450k
Vitaly Janelt,€22.00m
Christian Nørgaard,€18.00m
Yunus Emre Konak,€3.50m
Mathias Jensen,€28.00m
Josh Dasilva,€10.00m
Frank Onyeka,€9.00m
Shandon Baptiste,€2.50m
Paris Maghoma,€350k
Ethan Brierley,€300k
Ryan Trevitt,€275k
Yegor Yarmolyuk,€10.00m
Saman Ghoddos,€2.00m
Myles Peart-Harris,€700k
Kevin Schade,€22.00m
Keane Lewis-Potter,€15.00m
Mikkel Damsgaard,€10.00m
Bryan Mbeumo,€40.00m
Michael Olakigbe,€600k
Ivan Toney,€50.00m
Yoane Wissa,€28.00m
Neal Maupay,€12.00m
Bart Verbruggen,€18.00m
Jason Steele,€3.50m
Carl Rushworth,€3.00m
Tom McGill,€600k
Adam Webster,€20.00m
Jan Paul van Hecke,€18.00m
Igor,€17.00m
Lewis Dunk,€12.00m
Ed Turns,€400k
Ben Jackson,€200k
Leigh Kavanagh,€200k
Noel Atom,-
Pervis Estupiñán,€30.00m
Valentín Barco,€13.00m
Imari Samuels,€100k
Tariq Lamptey,€12.00m
Joël Veltman,€10.00m
Odeluga Offiah,€300k
Carlos Baleba,€22.00m
Billy Gilmour,€18.00m
Jack Hinshelwood,€16.00m
Jakub Moder,€10.00m
Pascal Groß,€8.00m
Mahmoud Dahoud,€6.00m
Yasin Ayari,€4.50m
Steven Alzate,€4.00m
James Milner,€1.00m
Marc Leonard,€450k
Jensen Weir,€300k
Samy Chouchane,€250k
Jack Hinchy,€150k
Julio Enciso,€22.00m
Facundo Buonanotte,€18.00m
Andrew Moran,€3.00m
Adam Lallana,€1.00m
Josh Duffus,€500k
Cameron Peupion,€100k
Kaoru Mitoma,€45.00m
Ansu Fati,€25.00m
Jeremy Sarmiento,€4.50m
Benicio Baker-Boaitey,€400k
Luca Barrington,€150k
Simon Adingra,€30.00m
Solly March,€18.00m
Abdallah Sima,€7.50m
Evan Ferguson,€50.00m
João Pedro,€45.00m
Danny Welbeck,€5.00m
Mark O'Mahony,€300k
Robert Sánchez,€20.00m
Djordje Petrovic,€20.00m
Marcus Bettinelli,€1.00m
Lucas Bergström,€700k
Teddy Sharman-Lowe,€300k
Eddie Beach,€250k
Ted Curd,€150k
Max Merrick,€100k
Levi Colwill,€50.00m
Axel Disasi,€40.00m
Benoît Badiashile,€30.00m
Wesley Fofana,€25.00m
Trevoh Chalobah,€13.00m
Alfie Gilchrist,€5.00m
Bashir Humphreys,€4.80m
Malang Sarr,€4.00m
Thiago Silva,€1.00m
Josh Brooking,€500k
Billy Gee,€250k
Harrison Murray-Campbell,€250k
Ian Maatsen,€40.00m
Ben Chilwell,€28.00m
Marc Cucurella,€25.00m
Diego Moreira,€3.00m
Ishé Samuels-Smith,€500k
Zak Sturge,€250k
Dylan Williams,€200k
Reece James,€40.00m
Malo Gusto,€35.00m
Josh Acheampong,€300k
Moisés Caicedo,€75.00m
Roméo Lavia,€35.00m
Lesley Ugochukwu,€25.00m
Ollie Harrison,€300k
Enzo Fernández,€75.00m
Conor Gallagher,€50.00m
Andrey Santos,€15.00m
Carney Chukwuemeka,€15.00m
Cesare Casadei,€10.00m
Alex Matos,€1.20m
Michael Golding,€300k
Jimi Tauriainen,€200k
Kiano Dyer,-
Cole Palmer,€80.00m
Christopher Nkunku,€65.00m
Leo Castledine,€900k
Raheem Sterling,€35.00m
Mykhaylo Mudryk,€35.00m
Tyrique George,-
Noni Madueke,€28.00m
Nicolas Jackson,€35.00m
Armando Broja,€22.00m
David Datro Fofana,€12.00m
Deivid Washington,€9.00m
Mason Burstow,€1.80m
Ronnie Stutter,€200k
Dean Henderson,€12.00m
Sam Johnstone,€10.00m
Joe Whitworth,€1.00m
Remi Matthews,€500k
Marc Guéhi,€38.00m
Joachim Andersen,€35.00m
Chris Richards,€12.00m
Rob Holding,€5.00m
Nathan Ferguson,€1.00m
James Tomkins,€700k
Seán Grehan,€150k
Tyrick Mitchell,€25.00m
Tayo Adaramola,€800k
Daniel Muñoz,€18.00m
Nathaniel Clyne,€1.50m
Joel Ward,€1.00m
Cheick Doucouré,€35.00m
Adam Wharton,€30.00m
Jefferson Lerma,€20.00m
Jairo Riedewald,€3.00m
David Ozoh,€700k
Kaden Rodney,€200k
Will Hughes,€9.00m
Naouirou Ahamada,€8.00m
Jack Wells-Morrison,€200k
Jeffrey Schlupp,€7.00m
John-Kymani Gordon,€200k
Eberechi Eze,€55.00m
Matheus França,€15.00m
Jadan Raymond,€200k
Michael Olise,€55.00m
Jesurun Rak-Sakyi,€2.00m
Malcolm Ebiowei,€1.50m
Franco Umeh-Chibueze,€75k
Roshaun Mathurin,-
Jean-Philippe Mateta,€20.00m
Odsonne Edouard,€18.00m
Jordan Ayew,€4.00m
Luke Plange,€800k
Ademola Ola-Adebomi,€250k
Jordan Pickford,€22.00m
João Virgínia,€800k
Andy Lonergan,€100k
Billy Crellin,-
Jarrad Branthwaite,€42.00m
James Tarkowski,€13.00m
Ben Godfrey,€10.00m
Michael Keane,€6.00m
Mason Holgate,€5.00m
Elijah Campbell,-
Vitaliy Mykolenko,€28.00m
Ashley Young,€500k
MacKenzie Hunt,€200k
Nathan Patterson,€15.00m
Séamus Coleman,€500k
Amadou Onana,€50.00m
James Garner,€22.00m
Abdoulaye Doucouré,€10.00m
André Gomes,€10.00m
Idrissa Gueye,€3.00m
Lewis Warrington,€500k
Tyler Onyango,€500k
Jenson Metcalfe,€150k
Dele Alli,€5.00m
Alex Iwobi,€25.00m
Dwight McNeil,€22.00m
Arnaut Danjuma,€13.00m
Lewis Dobbin,€2.50m
Jack Harrison,€18.00m
Dominic Calvert-Lewin,€22.00m
Beto,€20.00m
Neal Maupay,€12.00m
Chermiti,€9.00m
Tom Cannon,€4.00m
Bernd Leno,€13.00m
Marek Rodák,€3.00m
Steven Benda,€1.00m
Tosin Adarabioyo,€20.00m
Issa Diop,€20.00m
Calvin Bassey,€16.00m
Tim Ream,€800k
Luc De Fougerolles,€300k
Antonee Robinson,€25.00m
Fodé Ballo-Touré,€3.00m
Timothy Castagne,€17.00m
Kenny Tete,€15.00m
Kevin Mbabu,€4.00m
Devan Tanton,€250k
João Palhinha,€55.00m
Harrison Reed,€15.00m
Saša Lukić,€10.00m
Tom Cairney,€2.00m
Tyrese Francois,€600k
Matt Dibley-Dias,€500k
Joshua King,€200k
Andreas Pereira,€20.00m
Luke Harris,€1.00m
Kristian Sekularac,€200k
Alex Iwobi,€25.00m
Willian,€3.00m
Harry Wilson,€17.00m
Adama Traoré,€9.00m
Bobby De Cordova-Reid,€5.00m
Aleksandar Mitrović,€28.00m
Armando Broja,€22.00m
Rodrigo Muniz,€20.00m
Raúl Jiménez,€5.00m
Carlos Vinícius,€4.00m
Jay Stansfield,€3.50m
Alisson,€28.00m
Caoimhín Kelleher,€20.00m
Vitezslav Jaros,€5.00m
Adrián,€600k
Marcelo Pitaluga,€300k
Fabian Mrozek,€200k
Ibrahima Konaté,€45.00m
Virgil van Dijk,€30.00m
Joe Gomez,€28.00m
Jarell Quansah,€22.00m
Joel Matip,€8.00m
Nat Phillips,€3.50m
Rhys Williams,€1.80m
Luke Chambers,€1.50m
Amara Nallo,€200k
Andrew Robertson,€30.00m
Konstantinos Tsimikas,€22.00m
Owen Beck,€1.25m
Calum Scanlon,€700k
Trent Alexander-Arnold,€70.00m
Conor Bradley,€15.00m
Calvin Ramsay,€4.00m
Ryan Gravenberch,€35.00m
Wataru Endo,€13.00m
Stefan Bajcetic,€11.00m
Alexis Mac Allister,€75.00m
Curtis Jones,€35.00m
Harvey Elliott,€35.00m
Thiago Alcántara,€10.00m
Bobby Clark,€1.00m
James McConnell,€500k
Trey Nyoni,€500k
Tom Hill,€300k
Dominik Szoboszlai,€75.00m
Fábio Carvalho,€14.00m
Mateusz Musialowski,€300k
Luis Díaz,€75.00m
Cody Gakpo,€50.00m
Lewis Koumas,€1.00m
Mohamed Salah,€55.00m
Ben Doak,€10.00m
Kaide Gordon,€1.20m
Darwin Núñez,€70.00m
Diogo Jota,€50.00m
Jayden Danns,€1.00m
Ederson,€35.00m
Stefan Ortega,€9.00m
Zack Steffen,€2.00m
True Grant,€500k
Scott Carson,€200k
Rúben Dias,€80.00m
Manuel Akanji,€45.00m
Nathan Aké,€40.00m
John Stones,€38.00m
Taylor Harwood-Bellis,€22.00m
Aymeric Laporte,€20.00m
Max Alleyne,€500k
Josko Gvardiol,€75.00m
Josh Wilson-Esbrand,€4.00m
Rico Lewis,€38.00m
Kyle Walker,€13.00m
Issa Kaboré,€10.00m
Rodri,€120.00m
Kalvin Phillips,€25.00m
Máximo Perrone,€9.00m
Mahamadou Susoho,€1.50m
Jacob Wright,€800k
Matheus Nunes,€50.00m
Mateo Kovacic,€30.00m
Cole Palmer,€80.00m
Bernardo Silva,€70.00m
Kevin De Bruyne,€50.00m
James McAtee,€12.00m
Jérémy Doku,€65.00m
Jack Grealish,€60.00m
Micah Hamilton,€2.00m
Phil Foden,€150.00m
Oscar Bobb,€25.00m
Sergio Gómez,€10.00m
Erling Haaland,€180.00m
Julián Alvarez,€90.00m
André Onana,€35.00m
Dean Henderson,€12.00m
Altay Bayındır,€10.00m
Radek Vítek,€300k
Tom Heaton,€250k
Dermot Mee,€200k
Lisandro Martínez,€45.00m
Raphaël Varane,€20.00m
Harry Maguire,€18.00m
Victor Lindelöf,€15.00m
Willy Kambwala,€5.00m
Jonny Evans,€2.00m
Rhys Bennett,-
Louis Jackson,-
Luke Shaw,€32.00m
Tyrell Malacia,€18.00m
Sergio Reguilón,€12.00m
Álvaro Carreras,€7.00m
Brandon Williams,€2.50m
Harry Amass,-
Diogo Dalot,€35.00m
Aaron Wan-Bissaka,€20.00m
Habeeb Ogunneye,€200k
Sofyan Amrabat,€22.00m
Casemiro,€20.00m
Toby Collyer,€200k
Kobbie Mainoo,€50.00m
Scott McTominay,€32.00m
Christian Eriksen,€8.00m
Donny van de Beek,€5.00m
Daniel Gore,€900k
Bruno Fernandes,€70.00m
Mason Mount,€35.00m
Hannibal,€9.00m
Marcus Rashford,€60.00m
Alejandro Garnacho,€45.00m
Jadon Sancho,€30.00m
Antony,€25.00m
Amad Diallo,€18.00m
Facundo Pellistri,€8.00m
Shola Shoretire,€4.00m
Omari Forson,€2.00m
Rasmus Højlund,€65.00m
Anthony Martial,€10.00m
Joe Hugill,€200k
Ethan Wheatley,-
Nick Pope,€16.00m
Martin Dúbravka,€1.00m
Loris Karius,€1.00m
Mark Gillespie,€300k
Aidan Harris,€200k
Adam Harrison,€100k
Sven Botman,€45.00m
Fabian Schär,€10.00m
Dan Burn,€8.00m
Jamaal Lascelles,€7.00m
Kell Watts,€250k
Lewis Hall,€18.00m
Matt Targett,€10.00m
Jamal Lewis,€3.50m
Paul Dummett,€900k
Alex Murphy,€250k
Tino Livramento,€35.00m
Kieran Trippier,€10.00m
Emil Krafth,€2.50m
Javier Manquillo,€1.80m
Harrison Ashby,€1.20m
Bruno Guimarães,€85.00m
Isaac Hayden,€1.80m
Joelinton,€40.00m
Sandro Tonali,€38.00m
Joe Willock,€30.00m
Sean Longstaff,€25.00m
Lewis Miley,€22.00m
Elliot Anderson,€15.00m
Jeff Hendrick,€500k
Lucas De Bolle,€150k
Travis Hernes,€150k
James Huntley,€100k
Matt Ritchie,€1.00m
Joe White,€300k
Anthony Gordon,€60.00m
Harvey Barnes,€35.00m
Ryan Fraser,€3.00m
Amadou Diallo,€400k
Miguel Almirón,€20.00m
Jacob Murphy,€15.00m
Alexander Isak,€75.00m
Callum Wilson,€13.00m
Ben Parkinson,€250k
Michael Ndiweni,-
Matt Turner,€7.00m
Odysseas Vlachodimos,€7.00m
Matz Sels,€7.00m
Ethan Horvath,€1.80m
Wayne Hennessey,€250k
Murillo,€35.00m
Moussa Niakhaté,€16.00m
Andrew Omobamidele,€11.00m
Scott McKenna,€9.00m
Joe Worrall,€7.50m
Willy Boly,€2.50m
Felipe,€1.50m
Zach Abbott,€300k
Nuno Tavares,€15.00m
Harry Toffolo,€5.00m
Neco Williams,€17.00m
Ola Aina,€12.00m
Gonzalo Montiel,€10.00m
Serge Aurier,€3.70m
Ibrahim Sangaré,€30.00m
Danilo,€28.00m
Orel Mangala,€20.00m
Cheikhou Kouyaté,€1.00m
Jamie McDonnell,€200k
Nicolás Domínguez,€17.00m
Andrey Santos,€15.00m
Ryan Yates,€12.00m
Remo Freuler,€6.50m
Lewis O'Brien,€5.00m
Harry Arter,€400k
Morgan Gibbs-White,€40.00m
Giovanni Reyna,€18.00m
Brandon Aguilera,€300k
Callum Hudson-Odoi,€18.00m
Alex Mighten,€600k
Brennan Johnson,€48.00m
Anthony Elanga,€22.00m
Josh Bowler,€1.50m
Joe Gardner,€150k
Taiwo Awoniyi,€28.00m
Chris Wood,€7.00m
Divock Origi,€5.00m
Emmanuel Dennis,€4.20m
Rodrigo Ribeiro,€3.00m
Ui-jo Hwang,€1.80m
Detlef Esapa Osong,€150k
Guglielmo Vicario,€35.00m
Hugo Lloris,€1.20m
Fraser Forster,€1.20m
Brandon Austin,€600k
