Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
1,James Abankwah,2023-2024,19,ie IRL,Udinese,it Serie A,0,,,0,0,6,,,,,,,,DF,4b7a9fcc
2,Tammy Abraham,2023-2024,25,eng ENG,Roma,it Serie A,8,242,2.7,2,6,1,1,0,1,1,0,0,0,FW,f586779e
3,Salim Abubakar,2023-2024,20,ne NIG,Sassuolo,it Serie A,0,,,0,0,1,,,,,,,,MF,686ee768
4,Francesco Acerbi,2023-2024,35,it ITA,Inter,it Serie A,29,2388,26.5,26,3,2,3,1,4,3,0,0,0,DF,b96b595c
5,Marius Adamonis,2023-2024,26,lt LTU,Lazio,it Serie A,0,,,0,0,2,,,,,,,,GK,1226f0de
6,Yacine Adli,2023-2024,23,fr FRA,Milan,it Serie A,24,1407,15.6,17,7,14,1,2,3,1,0,0,0,MF,26777636
7,Michel Aebischer,2023-2024,26,ch SUI,Bologna,it Serie A,36,2230,24.8,26,10,1,0,1,1,0,0,0,0,MF,f9c927de
8,Lucien Agoume,2023-2024,21,fr FRA,Inter,it Serie A,1,5,0.1,0,1,16,0,0,0,0,0,0,0,MF,8bc8829a
9,Junior Ajayi,2023-2024,18,ci CIV,Hellas Verona,it Serie A,0,,,0,0,2,,,,,,,,FW,cab600a8
10,Marley Aké,2023-2024,22,fr FRA,Udinese,it Serie A,1,10,0.1,0,1,14,0,0,0,0,0,0,0,FW,414e1f69
11,Ebenezer Akinsanmiro,2023-2024,18,ng NGA,Inter,it Serie A,1,15,0.2,0,1,4,0,0,0,0,0,0,0,MF,3ad34015
12,Jean-Daniel Akpa-Akpro,2023-2024,30,ci CIV,Monza,it Serie A,19,705,7.8,8,11,15,0,0,0,0,0,0,0,MF,fdf4b948
13,David Akpan Ankeye,2023-2024,21,ng NGA,Genoa,it Serie A,6,57,0.6,0,6,6,0,0,0,0,0,0,0,FW,8c4b95af
14,Luis Alberto,2023-2024,30,es ESP,Lazio,it Serie A,33,2311,25.7,29,4,1,5,7,12,5,0,0,0,MF,5294a83f
15,Carlos Alcaraz,2023-2024,20,ar ARG,Juventus,it Serie A,10,380,4.2,3,7,3,0,1,1,0,0,0,0,MF,4abac767
16,Filippo Alessio,2023-2024,18,it ITA,Roma,it Serie A,0,,,0,0,1,,,,,,,,FW,21c9da64
17,Pasquale Allocca,2023-2024,18,it ITA,Salernitana,it Serie A,0,,,0,0,12,,,,,,,,GK,6e9cd7ed
18,Pontus Almqvist,2023-2024,24,se SWE,Lecce,it Serie A,30,2107,23.4,25,5,1,2,1,3,2,0,0,0,FWMF,0917188a
19,Agustín Álvarez Martínez,2023-2024,22,uy URU,Sassuolo,it Serie A,0,,,0,0,3,,,,,,,,FW,ab472696
20,Lorenzo Amatucci,2023-2024,19,it ITA,Fiorentina,it Serie A,2,22,0.2,0,2,15,0,0,0,0,0,0,0,MF,13b9e2fb
21,Bruno Amione,2023-2024,21,ar ARG,Hellas Verona,it Serie A,10,579,6.4,7,3,12,0,0,0,0,0,0,0,DF,2df7cc43
22,Sofyan Amrabat,2023-2024,26,ma MAR,Fiorentina,it Serie A,0,,,0,0,1,,,,,,,,MF,5a2cb25d
23,Felipe Anderson,2023-2024,30,br BRA,Lazio,it Serie A,38,2770,30.8,33,5,0,5,6,11,5,0,0,0,FWMF,9f1893b9
24,Angeliño,2023-2024,26,es ESP,Roma,it Serie A,16,1141,12.7,14,2,0,0,1,1,0,0,0,0,DF,30941e96
25,Jacopo Antolini,2023-2024,19,it ITA,Torino,it Serie A,0,,,0,0,7,,,,,,,,MF,6c86da83
26,Houssem Aouar,2023-2024,25,dz ALG,Roma,it Serie A,16,756,8.4,9,7,14,4,0,4,4,0,0,0,MFFW,a5db0bec
27,Mattia Aramu,2023-2024,28,it ITA,Genoa,it Serie A,0,,,0,0,2,,,,,,,,FWMF,0847b5a5
28,Riccardo Arboscello,2023-2024,17,it ITA,Genoa,it Serie A,0,,,0,0,1,,,,,,,,MF,96966bc2
