Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
1,Nabil Aberdin,2023-2024,20,fr FRA,Getafe,es La Liga,2,180,2.0,2,0,3,0,0,0,0,0,0,0,DF,cadfa7d1
2,Abner,2023-2024,23,br BRA,Betis,es La Liga,23,1400,15.6,15,8,10,0,1,1,0,0,0,0,DF,7f9c5d2d
3,Abdel Abqar,2023-2024,24,ma MAR,Alavés,es La Liga,27,2312,25.7,27,0,4,0,0,0,0,0,0,0,DF,2bc7f211
4,Vicent Abril Sanz,2023-2024,18,es ESP,Valencia,es La Liga,0,,,0,0,5,,,,,,,,GK,7221db10
5,Marcos Acuña,2023-2024,31,ar ARG,Sevilla,es La Liga,21,1292,14.4,18,3,2,1,2,3,1,0,0,0,DF,81442ecb
6,Julen Agirrezabala,2023-2024,22,es ESP,Athletic Club,es La Liga,4,238,2.6,2,2,34,0,0,0,0,0,0,0,GK,a2c1a8d3
7,Lucien Agoume,2023-2024,21,fr FRA,Sevilla,es La Liga,12,777,8.6,9,3,1,0,0,0,0,0,0,0,MF,8bc8829a
8,Joseph Aidoo,2023-2024,27,gh GHA,Celta Vigo,es La Liga,6,407,4.5,4,2,3,0,0,0,0,0,0,0,DF,18abe173
9,Ilias Akhomach,2023-2024,19,ma MAR,Villarreal,es La Liga,31,1511,16.8,17,14,6,2,2,4,2,0,0,0,MFFW,b8bd60fe
10,Sergio Akieme,2023-2024,25,es ESP,Almería,es La Liga,19,1675,18.6,19,0,1,2,0,2,2,0,0,0,DF,06efa9dc
11,Paul Akouokou,2023-2024,25,ci CIV,Betis,es La Liga,2,27,0.3,0,2,1,0,0,0,0,0,0,0,MF,31f5b89b
12,David Alaba,2023-2024,31,at AUT,Real Madrid,es La Liga,14,1154,12.8,14,0,1,0,1,1,0,0,0,0,DF,05439de2
13,Raúl Albiol,2023-2024,37,es ESP,Villarreal,es La Liga,26,2031,22.6,24,2,4,0,1,1,0,0,0,0,DF,4bd414c1
14,Rubén Alcaraz,2023-2024,32,es ESP,Cádiz,es La Liga,36,3134,34.8,36,0,0,3,1,4,1,2,2,0,MF,036bba5f
15,Omar Alderete,2023-2024,26,py PAR,Getafe,es La Liga,31,2195,24.4,24,7,3,0,1,1,0,0,0,0,DF,bb08bce9
16,Iván Alejo,2023-2024,28,es ESP,Cádiz,es La Liga,30,1692,18.8,21,9,5,0,2,2,0,0,0,0,MF,3d7e48ce
17,Carles Aleñá,2023-2024,25,es ESP,Getafe,es La Liga,29,1020,11.3,10,19,5,1,1,2,1,0,0,0,MF,6c811eb7
18,Mohamed Ali Cho,2023-2024,19,fr FRA,Real Sociedad,es La Liga,11,249,2.8,1,10,6,0,0,0,0,0,0,0,FWMF,f8405304
19,Tadeo Allende,2023-2024,24,ar ARG,Celta Vigo,es La Liga,10,336,3.7,2,8,5,1,0,1,1,0,0,0,MFFW,75a66bed
20,Domingos André Ribeiro Almeida,2023-2024,23,pt POR,Valencia,es La Liga,18,965,10.7,12,6,3,2,1,3,2,0,0,0,FWMF,e6697917
21,Iker Almena,2023-2024,19,es ESP,Girona,es La Liga,0,,,0,0,5,,,,,,,,FW,0b32f721
22,Nando Almodóvar,2023-2024,19,es ESP,Cádiz,es La Liga,0,,,0,0,1,,,,,,,,GK,de3b5d82
23,Marcos Alonso,2023-2024,32,es ESP,Barcelona,es La Liga,5,252,2.8,3,2,16,0,0,0,0,0,0,0,DF,f4290206
24,Adrià Altimira,2023-2024,22,es ESP,Villarreal,es La Liga,11,775,8.6,10,1,7,0,0,0,0,0,0,0,DFMF,757a3431
25,Sergi Altimira,2023-2024,21,es ESP,Betis,es La Liga,14,568,6.3,6,8,21,1,0,1,1,0,0,0,MF,94acdd4e
26,Gastón Álvarez,2023-2024,23,uy URU,Getafe,es La Liga,34,2537,28.2,29,5,2,2,0,2,2,0,0,0,DF,852ddfb8
27,Hugo Álvarez,2023-2024,20,es ESP,Celta Vigo,es La Liga,12,762,8.5,8,4,3,1,1,2,1,0,0,0,MFDF,6f392eb8
28,Iker Álvarez,2023-2024,22,ad AND,Villarreal,es La Liga,0,,,0,0,7,,,,,,,,GK,13619663
29,Yeray Álvarez,2023-2024,28,es ESP,Athletic Club,es La Liga,19,1152,12.8,14,5,3,0,0,0,0,0,0,0,DF,3ecc11d8
30,Selim Amallah,2023-2024,26,ma MAR,Valencia,es La Liga,20,604,6.7,7,13,7,0,1,1,0,0,0,0,FWMF,00eba9c9
31,Amath,2023-2024,27,sn SEN,Mallorca,es La Liga,15,394,4.4,3,12,7,0,0,0,0,0,0,0,FWMF,f3b1d9a2
32,Miguel Ángel Rubio,2023-2024,25,es ESP,Granada,es La Liga,19,1560,17.3,17,2,11,1,0,1,1,0,0,0,DF,56cafd0a
