
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
1,Max Aarons,2023-2024,23,eng ENG,Bournemouth,eng Premier League,20,1237,13.7,13,7,5,0,1,1,0,0,0,0,DF,774cf58b
2,Joshua Acheampong,2023-2024,17,eng ENG,Chelsea,eng Premier League,1,6,0.1,0,1,3,0,0,0,0,0,0,0,DF,b7e62e1d
3,Tyler Adams,2023-2024,24,us USA,Bournemouth,eng Premier League,3,121,1.3,1,2,2,0,0,0,0,0,0,0,MF,2b09d998
4,Tosin Adarabioyo,2023-2024,25,eng ENG,Fulham,eng Premier League,20,1617,18.0,18,2,2,2,0,2,2,0,0,0,DF,c81d773d
5,Tayo Adaramola,2023-2024,19,ie IRL,Crystal Palace,eng Premier League,0,,,0,0,2,,,,,,,,DF,c150b220
6,Elijah Adebayo,2023-2024,25,eng ENG,Luton Town,eng Premier League,27,1419,15.8,16,11,0,10,0,10,10,0,0,0,FW,0480ebc7
7,Val Adedokun,2023-2024,20,ie IRL,Brentford,eng Premier League,0,,,0,0,5,,,,,,,,FW,1b5344ef
8,Simon Adingra,2023-2024,21,ci CIV,Brighton,eng Premier League,31,2222,24.7,25,6,1,6,1,7,6,0,0,0,FW,4dcec659
9,Adrián,2023-2024,36,es ESP,Liverpool,eng Premier League,0,,,0,0,15,,,,,,,,GK,f76e6b4e
10,Nayef Aguerd,2023-2024,27,ma MAR,West Ham,eng Premier League,21,1857,20.6,21,0,4,1,0,1,1,0,0,0,DF,288e1e13
11,Brandon Aguilera,2023-2024,20,cr CRC,Nott'ham Forest,eng Premier League,1,5,0.1,0,1,3,0,0,0,0,0,0,0,FW,938fa024
12,Naouirou Ahamada,2023-2024,21,fr FRA,Crystal Palace,eng Premier League,20,349,3.9,0,20,14,0,0,0,0,0,0,0,MFFW,a6c58494
13,Anel Ahmedhodžić,2023-2024,24,ba BIH,Sheffield Utd,eng Premier League,31,2649,29.4,29,2,0,2,0,2,2,0,0,0,DF,eab957a3
14,Ola Aina,2023-2024,26,ng NGA,Nott'ham Forest,eng Premier League,22,1692,18.8,20,2,3,1,1,2,1,0,0,0,DF,246d153b
15,Rayan Aït-Nouri,2023-2024,22,dz ALG,Wolves,eng Premier League,33,2329,25.9,29,4,0,2,1,3,2,0,0,0,DFMF,9b398aea
