"Name","Market.Value","Age","Nation","Team","Min","Gls","Ast","Pos","Nation_Ranking"
"William Saliba","€80.00m","22","France","Arsenal","3420","2","1","DF","2"
"Gabriel Magalhães","€70.00m","25","Brazil","Arsenal","3044","4","0","DF","4"
"Jakub Kiwior","€30.00m","23","Poland","Arsenal","946","1","3","DF","26"
"Oleksandr Zinchenko","€38.00m","26","Ukraine","Arsenal","1722","1","2","DF","24"
"Ben White","€55.00m","25","England","Arsenal","2988","4","4","DF","5"
"Takehiro Tomiyasu","€35.00m","24","Japan","Arsenal","1149","2","1","DF","17"
"Cédric Soares","€2.00m","31","Portugal","Arsenal","62","0","0","DF","6"
"Declan Rice","€120.00m","24","England","Arsenal","3225","7","8","MF","5"
"Thomas Partey","€18.00m","30","Ghana","Arsenal","788","0","0","MFDF","64"
"Jorginho","€12.00m","31","Italy","Arsenal","921","0","2","MF","10"
"Mohamed Elneny","€3.50m","31","Egypt","Arsenal","28","0","0","MF","36"
"Albert Sambi Lokonga","€15.00m","23","Belgium","Luton Town","1303","1","3","MF","3"
"Martin Ødegaard","€110.00m","24","Norway","Arsenal","3091","8","10","MF","46"
"Emile Smith Rowe","€22.00m","23","England","Arsenal","353","0","1","MF","5"
"Ethan Nwaneri","€8.00m","16","England","Arsenal","14","0","0","FW","5"
"Gabriel Martinelli","€70.00m","22","Brazil","Arsenal","2019","6","4","FW","4"
"Leandro Trossard","€35.00m","28","Belgium","Arsenal","1649","12","1","FWMF","3"
"Bukayo Saka","€140.00m","21","England","Arsenal","2919","16","9","FW","5"
"Reiss Nelson","€15.00m","23","England","Arsenal","268","0","0","FW","5"
"Kai Havertz","€70.00m","24","Germany","Arsenal","2634","13","7","MFFW","16"
"Gabriel Jesus","€65.00m","26","Brazil","Arsenal","1478","4","5","FW","4"
"Eddie Nketiah","€30.00m","24","England","Arsenal","1082","5","2","FW","5"
"Pau Torres","€45.00m","26","Spain","Aston Villa","2464","2","0","DF","8"
"Ezri Konsa","€35.00m","25","England","Aston Villa","3069","1","0","DF","5"
