term,estimate,std.error,statistic,p.value,League
(Intercept),41.056662568683905,4.663120476196674,8.80454682186776,2.8344924027067686e-17,England
age,-1.1369657605308605,0.1726079271735429,-6.586984613909048,1.2529340697404901e-10,England
goals,2.992910736272867,0.29224421032255204,10.241129269830768,2.8587740466267252e-22,England
assists,1.5670148975288969,0.40847193599022497,3.8362853343403174,1.427081343857826e-4,England
club_ranking,-0.026533757565793133,0.0038222031982423936,-6.942006007947052,1.3529406287675187e-11,England
national_team_ranking,-0.064770001698962,0.03199289469137977,-2.0245120775649523,0.04350630663553341,England
minutes_played,0.00436944331054523,0.001034536823357964,4.223574465298024,2.910332123208771e-5,England
positionFW,-9.608394215887559,2.6610271663571696,-3.610783962435465,3.395312631180911e-4,England
positionFWDF,-7.253141671111925,4.575391947120951,-1.585250346842075,0.11361035130613827,England
positionFWMF,-3.8111561112031302,2.2997310886035747,-1.6572181548049219,0.09817079702522917,England
positionMF,2.018965026782193,2.0831475516111113,0.9691896405613326,0.332970042695344,England
positionMFDF,-2.0419982747300796,2.8220918648857114,-0.7235761174673087,0.46970112813652765,England
(Intercept),22.946391140609734,3.1925228249448163,7.187541765188905,3.66929102014652e-12,France
age,-0.5934540466719789,0.12844168920939958,-4.620416083943475,5.295886933027775e-6,France
goals,2.0273174248968058,0.23694731659368876,8.555983895665712,3.1502731906770925e-16,France
assists,1.7148394381942567,0.42957135102559313,3.991978129128284,7.903401399828542e-5,France
club_ranking,-0.015692967612300067,0.003057506728377779,-5.132602805628586,4.62575681706148e-7,France
national_team_ranking,-0.03578159290018494,0.018260125156514744,-1.959548064073317,0.05079904940805229,France
minutes_played,6.537091141553649e-4,8.259548996294034e-4,0.7914586068182135,0.4291834920090156,France
positionFW,-7.041471534498687,2.0846598188077734,-3.3777556755162754,8.084529462021302e-4,France
positionFWDF,-4.371874363650193,2.938068606099049,-1.4880096246135128,0.13760010210329343,France
positionFWMF,-5.010537337931082,1.6420525756025444,-3.0513866683546875,0.0024422751977858028,France
positionMF,-2.937864490257409,1.5000366852823945,-1.9585284273926484,0.050918935669895395,France
positionMFDF,-1.905014765487865,2.14841465133259,-0.8867072118998295,0.375812524971443,France
(Intercept),28.663269385046263,3.916775882500262,7.318077481305658,1.5565187982870467e-12,Germany
age,-0.8483966724577634,0.1503156776045546,-5.6440997105418145,3.2913626046151946e-8,Germany
goals,1.473769616250666,0.2274101442559965,6.480667874655748,2.893137787814308e-10,Germany
assists,1.8277756691862015,0.3558133275471834,5.1368949043760175,4.511477286016558e-7,Germany
club_ranking,-0.01688970740775442,0.003537050899845191,-4.775081808546676,2.58520899116365e-6,Germany
national_team_ranking,0.012408062929590017,0.03531484888242145,0.3513554021114992,0.7255201188110721,Germany
minutes_played,0.0013510291262440286,9.41230887686717e-4,1.4353854552781213,0.15201529320807622,Germany
positionFW,-2.0810534422422338,2.5570786323929884,-0.8138402221501978,0.41625571507043757,Germany
positionFWDF,-7.83540385170217,3.077121173992355,-2.5463423143445034,0.01128707121589235,Germany
positionFWMF,-5.2383018455451635,1.8449544976020684,-2.8392580154976774,0.004769460465091824,Germany
positionMF,-1.4689112568185763,1.8169060278763494,-0.8084684811880342,0.4193362799073356,Germany
positionMFDF,-2.433045980620924,2.127195227325966,-1.1437812333188777,0.25344787985448,Germany
(Intercept),26.361462596999868,3.037789555910371,8.677843580609654,8.457028775707788e-17,Italy
age,-0.8287774711129126,0.11250940622839462,-7.366294951646003,9.06821747702078e-13,Italy
goals,2.4892867701757297,0.21640595658643913,11.502856988973097,7.131682768105144e-27,Italy
assists,0.8200034873525527,0.35280583884618366,2.3242344572138953,0.020579096276485024,Italy
club_ranking,-0.017977373878349426,0.002896295290476243,-6.2070238271158376,1.2747509796635403e-9,Italy
national_team_ranking,-0.013743219135264408,0.019749063839463323,-0.6958921823829538,0.48687316844441997,Italy
minutes_played,0.0022961417413374747,6.646848726441517e-4,3.454481718838133,6.062121722878618e-4,Italy
positionFW,-2.246877355023621,1.6937633098945377,-1.326559231681269,0.1853602482737074,Italy
positionFWDF,-2.326714974720455,3.2273757374993175,-0.7209309246785359,0.4713446864094071,Italy
positionFWMF,-4.876873138470116,1.510409923814668,-3.2288407680433937,0.0013384181461120693,Italy
positionMF,-1.9107409526622605,1.2675855296744518,-1.5073862141302508,0.13244770466414318,Italy
positionMFDF,-1.9334876045130671,2.1833787740755204,-0.8855484112378708,0.3763570112173673,Italy
(Intercept),35.88684191771439,4.504735312573379,7.966470708622754,1.8121782600955598e-14,Spain
age,-1.17921485880908,0.1602808881153336,-7.357176970223365,1.1194984172771798e-12,Spain
goals,1.2731774965595386,0.2963252166998655,4.296554679816814,2.1931252615431405e-5,Spain
assists,1.548163359497038,0.5018615728054647,3.084841405255685,0.002181748099934366,Spain
club_ranking,-0.03395851102674873,0.0058813040946053335,-5.773976397156102,1.5823618302846834e-8,Spain
national_team_ranking,-0.019577183345513283,0.036619474300342764,-0.5346112613454431,0.5932233363844724,Spain
minutes_played,0.003508059793778836,0.0010682518734149102,3.283925711793535,0.0011161953114164618,Spain
positionFW,-4.474049441448274,2.787506185161027,-1.6050365969644729,0.109295161195798,Spain
positionFWDF,0.0622192280013366,5.844876891951899,0.010645087852407866,0.9915120523050502,Spain
positionFWMF,2.012615103028196,2.393250829267481,0.8409545202765943,0.40088871535264414,Spain
positionMF,1.1699643050646904,2.0294379019865088,0.5764967254822011,0.5646120469545244,Spain
positionMFDF,6.327120851983506,3.0036698789312473,2.106463462034914,0.035802463305867956,Spain
