"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Alessandro Bastoni",7e+07,24,10,3,2268,1,3,"DF"
"Benjamin Pavard",5e+07,27,2,3,1672,0,2,"DF"
"Stefan de Vrij",7e+06,31,7,3,1586,1,0,"DF"
"Francesco Acerbi",3500000,35,10,3,2388,3,1,"DF"
"Federico Dimarco",5e+07,25,10,3,2077,5,6,"DF"
"Carlos Augusto",2.2e+07,24,4,3,1725,0,3,"DF"
"Denzel Dumfries",2.4e+07,27,7,3,1639,4,4,"DF"
"Matteo Darmian",4e+06,33,10,3,2404,2,1,"DF"
"Hakan Çalhanoğlu",4.5e+07,29,42,3,2556,13,3,"MF"
"Kristjan Asllani",1.8e+07,21,66,3,787,1,2,"MF"
"Nicolò Barella",8e+07,26,10,3,2846,2,3,"MF"
"Davide Frattesi",3.5e+07,23,10,3,955,6,3,"MF"
"Henrikh Mkhitaryan",6e+06,34,96,3,2785,2,8,"MF"
"Davy Klaassen",4e+06,30,7,3,206,0,0,"MF"
"Stefano Sensi",3e+06,27,10,3,46,0,1,"MF"
"Ebenezer Akinsanmiro",1800000,18,38,3,15,0,0,"MF"
"Tajon Buchanan",8e+06,24,48,3,161,1,0,"DF"
"Juan Cuadrado",1e+06,35,12,3,267,0,2,"DF"
"Lautaro Martínez",1.1e+08,25,1,3,2656,24,3,"FW"
"Marcus Thuram",6.5e+07,25,2,3,2687,13,7,"FW"
"Alexis Sánchez",2500000,34,40,3,763,2,5,"FWMF"
"Fikayo Tomori",4e+07,25,5,23,2121,4,0,"DF"
"Malick Thiaw",2.5e+07,21,16,23,1619,0,1,"DF"
"Pierre Kalulu",2e+07,23,2,23,374,0,0,"DF"
"Matteo Gabbia",8e+06,23,10,23,1275,2,1,"DF"
"Simon Kjær",1500000,34,21,23,1171,0,1,"DF"
"Mattia Caldara",8e+05,29,10,23,33,0,0,"DF"
"Theo Hernández",6e+07,25,2,23,2791,5,4,"DF"
"Davide Bartesaghi",1e+06,17,10,23,79,0,0,"MFDF"
"Davide Calabria",1.3e+07,26,10,23,2185,1,3,"DF"
"Alessandro Florenzi",2e+06,32,10,23,1732,1,4,"DF"
"Ismaël Bennacer",3e+07,25,44,23,1151,2,2,"MF"
"Yacine Adli",1.5e+07,23,2,23,1407,1,2,"MF"
"Tijjani Reijnders",3e+07,25,7,23,2820,3,3,"MF"
"Ruben Loftus-Cheek",2.5e+07,27,5,23,2068,6,1,"MF"
"Yunus Musah",2.2e+07,20,11,23,1478,0,2,"FWMF"
"Tommaso Pobega",1e+07,24,10,23,319,0,0,"MF"
"Kevin Zeroli",2e+06,18,10,23,28,0,0,"MF"
"Rafael Leão",9e+07,24,6,23,2512,9,9,"FW"
"Noah Okafor",2e+07,23,19,23,887,6,2,"FWMF"
"Chaka Traorè",1500000,18,37,23,20,1,0,"FW"
"Christian Pulisic",4e+07,24,11,23,2602,12,8,"FWMF"
"Samuel Chukwueze",2e+07,24,38,23,1017,1,3,"FW"
"Luka Romero",5e+06,18,1,23,88,0,0,"FWMF"
"Francesco Camarda",1e+07,15,10,23,14,0,0,"FW"
"Olivier Giroud",3e+06,36,2,23,2363,15,8,"FW"
"Federico Gatti",1.8e+07,25,10,22,2637,4,0,"DF"
"Tiago Djaló",1.2e+07,23,6,22,17,0,0,"DF"
"Danilo",1e+07,32,4,22,2452,1,1,"DF"
"Daniele Rugani",4e+06,29,10,22,1187,2,0,"DF"
"Andrea Cambiaso",2.5e+07,23,10,22,2372,2,3,"FWDF"
"Filip Kostić",6500000,30,32,22,1815,0,4,"DF"
"Alex Sandro",2e+06,32,4,22,721,1,0,"DF"
"Mattia De Sciglio",1e+06,30,10,22,45,0,0,"DF"
"Manuel Locatelli",2.8e+07,25,10,22,3008,1,4,"MF"
"Adrien Rabiot",3.5e+07,28,2,22,2651,5,3,"MF"
"Weston McKennie",2.8e+07,24,11,22,2594,0,7,"MFDF"
"Fabio Miretti",1.5e+07,19,10,22,1103,1,1,"MF"
"Nicolò Fagioli",1.5e+07,22,10,22,437,0,2,"MF"
"Carlos Alcaraz",1.5e+07,20,1,22,380,0,1,"MF"
"Joseph Nonge",3e+06,18,3,22,24,0,0,"MF"
"Hans Nicolussi Caviglia",3e+06,23,10,22,268,0,1,"MF"
"Nikola Sekulov",8e+05,21,10,22,11,0,0,"FW"
"Kenan Yıldız",3e+07,18,42,22,952,2,0,"FWMF"
"Samuel Iling-Junior",1.3e+07,19,5,22,810,1,2,"MFDF"
"Federico Chiesa",3.5e+07,25,10,22,2197,9,2,"FW"
"Timothy Weah",1.2e+07,23,11,22,1258,0,1,"FWDF"
"Dušan Vlahović",6.5e+07,23,32,22,2307,16,4,"FW"
"Moise Kean",1.4e+07,23,10,22,654,0,0,"FW"
"Arkadiusz Milik",6e+06,29,26,22,919,4,1,"FW"
"Leonardo Cerri",8e+05,20,10,22,7,0,0,"DF"
"Giorgio Scalvini",4.5e+07,19,10,6,2544,1,3,"DF"
"Berat Djimsiti",1e+07,30,66,6,2832,0,1,"DF"
"Rafael Tolói",2500000,32,10,6,965,0,0,"DF"
"Giovanni Bonfanti",1e+06,20,10,6,89,0,0,"DF"
"José Luis Palomino",7e+05,33,1,6,27,0,0,"DF"
"Mitchel Bakker",6500000,23,7,6,382,1,0,"DF"
"Emil Holm",1.2e+07,23,28,6,947,1,1,"DF"
"Hans Hateboer",3500000,29,7,6,1113,0,1,"DF"
"Marten de Roon",7e+06,32,7,6,2599,0,5,"MFDF"
"Leonardo Mendicino",8e+05,17,10,6,1,0,0,"MF"
"Éderson",4e+07,24,4,6,2869,6,1,"MF"
"Davide Zappacosta",6e+06,31,10,6,1867,2,1,"DF"
"Matteo Ruggeri",2e+07,21,10,6,2449,0,4,"DF"
"Teun Koopmeiners",5e+07,25,7,6,2627,12,5,"MF"
"Charles De Ketelaere",3.4e+07,22,3,6,2026,10,8,"FWMF"
"Ademola Lookman",4e+07,25,38,6,1894,11,7,"FWMF"
"Gianluca Scamacca",3.5e+07,24,10,6,1453,12,6,"FW"
"El Bilal Touré",2e+07,21,50,6,394,2,0,"FW"
"Luis Muriel",2e+06,32,12,6,409,2,1,"FWMF"
"Sam Beukema",1.8e+07,24,7,24,2547,1,1,"DF"
"Jhon Lucumí",1.7e+07,25,12,24,2217,0,0,"DF"
"Riccardo Calafiori",3e+07,21,10,24,2349,2,5,"DF"
"Tommaso Corazza",1e+06,19,10,24,195,0,0,"DF"
"Stefan Posch",1.4e+07,26,25,24,2409,1,2,"DF"
"Lorenzo De Silvestri",4e+05,35,10,24,674,2,0,"DF"
"Nikola Moro",5e+06,25,9,24,840,1,0,"MF"
"Oussama El Azzouzi",2500000,22,12,24,547,2,2,"MF"
"Nicolás Domínguez",1.7e+07,25,1,24,102,0,0,"MF"
"Michel Aebischer",9e+06,26,19,24,2230,0,1,"MF"
"Kacper Urbanski",7e+06,18,26,24,926,0,1,"FWMF"
"Remo Freuler",6500000,31,19,24,2624,1,1,"MF"
"Lewis Ferguson",2.4e+07,23,39,24,2712,6,3,"MF"
"Giovanni Fabbian",1.4e+07,20,10,24,1057,5,2,"FWMF"
"Jesper Karlsson",8e+06,25,28,24,344,0,0,"FW"
"Riccardo Orsolini",1.6e+07,26,10,24,1792,10,2,"FWMF"
"Dan Ndoye",1.4e+07,22,19,24,1771,1,1,"FWMF"
"Alexis Saelemaekers",1.2e+07,24,3,24,1887,4,2,"FWMF"
"Joshua Zirkzee",5e+07,22,7,24,2759,11,4,"FW"
"Santiago Castro",1.2e+07,18,1,24,242,1,1,"FW"
"Jens Odgaard",4500000,24,21,24,431,2,0,"FWMF"
"Sydney van Hooijdonk",4e+06,23,7,24,212,0,0,"FW"
"Gianluca Mancini",2.5e+07,27,10,31,2869,4,1,"DF"
"Diego Llorente",7e+06,29,8,31,2170,1,1,"DF"
"Chris Smalling",2500000,33,5,31,390,0,0,"DF"
"Angeliño",8e+06,26,8,31,1141,0,1,"DF"
"Leonardo Spinazzola",4e+06,30,10,31,1312,1,2,"DF"
"Rasmus Kristensen",1e+07,26,21,31,1744,1,1,"DF"
"Zeki Çelik",6e+06,26,42,31,671,0,0,"DF"
"Rick Karsdorp",5e+06,28,7,31,1191,0,2,"DF"
"Bryan Cristante",2e+07,28,10,31,3289,3,4,"MFDF"
"Leandro Paredes",8e+06,29,1,31,2634,3,5,"MF"
"Edoardo Bove",1.8e+07,21,10,31,1780,0,2,"MF"
"Houssem Aouar",1e+07,25,44,31,756,4,0,"FWMF"
"Renato Sanches",6500000,25,6,31,146,1,0,"MF"
"Niccolò Pisilli",3500000,18,10,31,10,0,0,"MF"
"Riccardo Pagano",2500000,18,10,31,51,0,0,"MFDF"
"Nicola Zalewski",1.2e+07,21,26,31,968,0,1,"FWDF"
"Lorenzo Pellegrini",2.5e+07,27,10,31,1859,8,3,"MF"
"Stephan El Shaarawy",5e+06,30,10,31,1738,3,4,"FWDF"
"Ola Solbakken",2500000,24,46,31,23,0,0,"FW"
"João Costa",1e+06,18,4,31,14,0,0,"FWMF"
"Paulo Dybala",2e+07,29,1,31,1959,13,9,"FWMF"
"Tammy Abraham",3e+07,25,5,31,242,1,0,"FW"
"Romelu Lukaku",3e+07,30,3,31,2641,13,3,"FW"
"Sardar Azmoun",8e+06,28,20,31,585,3,0,"FWMF"
"Alessio Romagnoli",1.5e+07,28,10,29,2411,0,0,"DF"
"Nicolò Casale",1.4e+07,25,10,29,1559,0,0,"DF"
"Mario Gila",1.3e+07,22,8,29,1809,0,0,"DF"
"Patric",4e+06,30,8,29,1608,2,0,"DF"
"Luca Pellegrini",3500000,24,10,29,786,1,0,"DF"
"Elseid Hysaj",2500000,29,66,29,1199,0,0,"DF"
"Nicolò Rovella",1.8e+07,21,10,29,1318,0,2,"MF"
"Danilo Cataldi",5500000,28,10,29,1361,1,0,"MF"
"Mattéo Guendouzi",2.5e+07,24,2,29,2367,2,3,"MF"
"Matías Vecino",2500000,31,14,29,1153,6,1,"MF"
"Manuel Lazzari",4e+06,29,10,29,1671,0,2,"DF"
"Daichi Kamada",1.8e+07,26,17,29,1544,2,2,"MF"
