"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Mario Hermoso",2.5e+07,28,8,16,2557,0,1,"DF"
"José María Giménez",2.2e+07,28,14,16,1326,0,0,"DF"
"Çağlar Söyüncü",1e+07,27,42,16,114,0,0,"DF"
"Axel Witsel",3500000,34,3,16,2783,2,0,"DF"
"César Azpilicueta",2e+06,33,8,16,1423,0,2,"DF"
"Reinildo Mandava",9e+06,29,103,16,731,2,1,"DF"
"Nahuel Molina",2.8e+07,25,1,16,1852,2,3,"DF"
"Arthur Vermeeren",2.5e+07,18,3,16,162,0,0,"MF"
"Rodrigo De Paul",3e+07,29,1,16,2075,3,5,"MF"
"Pablo Barrios",2.5e+07,20,8,16,1555,0,1,"MF"
"Koke",1.2e+07,31,8,16,2493,0,4,"MF"
"Saúl Ñíguez",7500000,28,8,16,1374,1,4,"MF"
"Marcos Llorente",3e+07,28,8,16,2565,6,4,"MFDF"
"Thomas Lemar",1e+07,27,2,16,164,0,0,"MF"
"Samuel Lino",3e+07,23,4,16,2080,4,5,"MFDF"
"Rodrigo Riquelme",2.5e+07,23,8,16,1528,3,5,"MFDF"
"Yannick Carrasco",1.4e+07,29,3,16,221,0,1,"DF"
"Salim El Jebari",1e+06,19,12,16,13,0,0,"MF"
"Ángel Correa",1.8e+07,28,1,16,1528,9,2,"FWMF"
"Antoine Griezmann",2.5e+07,32,2,16,2644,16,6,"FWMF"
"Álvaro Morata",1.6e+07,30,8,16,1904,15,3,"FW"
"Andreas Christensen",4e+07,27,21,9,1979,2,2,"MFDF"
"Pau Cubarsí",3e+07,16,8,9,1558,0,0,"DF"
"Iñigo Martínez",5e+06,32,8,9,1296,0,0,"DF"
"Alejandro Balde",4e+07,19,8,9,1378,0,1,"DF"
"Marcos Alonso",2e+06,32,8,9,252,0,0,"DF"
"Jules Koundé",4.5e+07,24,2,9,2899,1,2,"DF"
"João Cancelo",2.5e+07,29,6,9,2503,2,4,"DF"
"Héctor Fort",1e+07,16,8,9,318,0,2,"DF"
"Oriol Romeu",2e+06,31,8,9,936,0,1,"MF"
"Gavi",9e+07,18,8,9,944,1,1,"FWMF"
"Pedri",8e+07,20,8,9,1476,4,2,"FWMF"
"Frenkie de Jong",7e+07,26,7,9,1634,2,0,"MF"
"İlkay Gündoğan",1.5e+07,32,16,9,2994,5,9,"MF"
"Sergi Roberto",2500000,31,8,9,860,3,2,"MFDF"
"Raphinha",5e+07,26,4,9,1368,6,9,"FWMF"
"Ansu Fati",2.5e+07,20,8,9,50,0,0,"FWMF"
"Lamine Yamal",9e+07,16,8,9,2201,5,5,"FW"
"Vitor Roque",3e+07,18,4,9,328,2,0,"FW"
"Robert Lewandowski",1.5e+07,34,26,9,2750,19,8,"FW"
"Marc Guiu",7500000,17,8,9,74,1,0,"FWMF"
"Éder Militão",6e+07,25,4,2,496,0,0,"DF"
"Antonio Rüdiger",2.5e+07,30,16,2,2709,1,0,"DF"
"David Alaba",2e+07,31,25,2,1154,0,1,"DF"
"Ferland Mendy",2.2e+07,28,2,2,1720,0,0,"DF"
"Lucas Vázquez",4e+06,32,8,2,1419,3,6,"DF"
"Aurélien Tchouaméni",1e+08,23,2,2,1987,3,1,"MFDF"
"Mario Martín",3e+05,19,8,2,18,0,0,"MF"
"Federico Valverde",1.2e+08,25,14,2,2904,2,7,"MF"
"Eduardo Camavinga",1e+08,20,2,2,1817,0,2,"MFDF"
"Toni Kroos",1e+07,33,16,2,2124,1,8,"MF"
"Dani Ceballos",6e+06,26,8,2,598,0,2,"FWMF"
"Jude Bellingham",1.8e+08,20,5,2,2315,19,6,"MF"
"Brahim Díaz",4e+07,23,12,2,1545,8,6,"FWMF"
"Rodrygo",1.1e+08,22,4,2,2380,10,5,"FW"
"Arda Güler",3e+07,18,42,2,377,6,0,"FWMF"
"Gonzalo García",1e+06,19,8,2,19,0,0,"FWMF"
"Joselu",5e+06,33,8,2,1687,10,2,"FW"
"Álvaro Rodríguez",3500000,19,14,2,1,0,0,"FW"
"Chadi Riad",1.5e+07,20,12,57,2164,0,0,"DF"
"Luiz Felipe",1.3e+07,26,10,57,360,0,0,"DF"
"Germán Pezzella",3e+06,32,1,57,2767,1,0,"DF"
"Marc Bartra",1e+06,32,8,57,225,0,0,"DF"
"Sokratis Papastathopoulos",7e+05,35,51,57,1136,0,0,"DF"
"Ricardo Visus",150000,22,8,57,166,0,0,"DF"
"Juan Miranda",9e+06,23,8,57,1858,1,1,"DF"
"Abner",7e+06,23,4,57,1400,0,1,"DF"
"Héctor Bellerín",4e+06,28,8,57,1711,0,1,"DF"
"Youssouf Sabaly",2500000,30,18,57,1046,0,1,"DF"
"Pablo Busto",5e+05,17,8,57,44,0,0,"DF"
"Johnny Cardoso",2.5e+07,21,11,57,1328,1,2,"MF"
"Guido Rodríguez",2e+07,29,1,57,1846,2,0,"MF"
"Marc Roca",9e+06,26,8,57,1980,2,2,"MF"
"William Carvalho",3e+06,31,6,57,680,1,3,"MF"
"Paul Akouokou",1500000,25,37,57,27,0,0,"MF"
"Sergi Altimira",2500000,21,8,57,568,1,0,"MF"
