"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Edmond Tapsoba",4.5e+07,24,67,5,2087,0,1,"DF"
"Piero Hincapié",4e+07,21,30,5,1484,1,2,"DF"
"Odilon Kossounou",3.5e+07,22,37,5,1811,1,0,"DF"
"Jonathan Tah",3e+07,27,16,5,2631,4,1,"DF"
"Arthur",5e+06,20,4,5,184,0,2,"DF"
"Granit Xhaka",2e+07,30,19,5,2821,3,0,"MF"
"Robert Andrich",1.7e+07,28,16,5,1690,4,2,"MFDF"
"Exequiel Palacios",4.5e+07,24,1,5,1831,4,4,"MF"
"Gustavo Puerta",3e+06,20,12,5,46,0,0,"MFDF"
"Noah Mbamba",2500000,18,3,5,16,0,1,"MF"
"Jeremie Frimpong",5e+07,22,7,5,2251,9,7,"DF"
"Nathan Tella",2.3e+07,24,38,5,819,5,2,"MFDF"
"Florian Wirtz",1.3e+08,20,16,5,2372,11,11,"MF"
"Jonas Hofmann",1e+07,31,16,5,2204,5,7,"MF"
"Amine Adli",3e+07,23,12,5,898,4,6,"FWMF"
"Victor Boniface",4e+07,22,38,5,1546,14,8,"FW"
"Patrik Schick",2.2e+07,27,34,5,1063,7,0,"FW"
"Borja Iglesias",5e+06,30,8,5,256,0,0,"FW"
"Hiroki Ito",3e+07,24,17,14,2228,0,2,"DF"
"Waldemar Anton",2e+07,27,16,14,2886,0,3,"DF"
"Dan-Axel Zagadou",1e+07,24,2,14,1453,1,0,"DF"
"Anthony Rouault",7e+06,22,2,14,1010,0,2,"DF"
"Maximilian Mittelstädt",1.7e+07,26,16,14,2103,2,4,"DF"
"Josha Vagnoman",1e+07,22,16,14,1183,2,2,"DF"
"Leonidas Stergiou",5e+06,21,19,14,594,1,0,"DF"
"Pascal Stenzel",2500000,27,16,14,1064,0,5,"DF"
"Samuele Di Benedetto",450000,18,16,14,7,0,0,"MF"
"Mahmoud Dahoud",6e+06,27,16,14,227,1,0,"MF"
"Borna Sosa",7500000,25,9,14,46,0,0,"FWDF"
"Enzo Millot",3e+07,21,2,14,2241,5,4,"FWMF"
"Lilian Egloff",8e+05,20,16,14,106,0,0,"MFDF"
"Genki Haraguchi",5e+05,32,17,14,27,0,0,"MF"
"Chris Führich",2.8e+07,25,16,14,2567,8,7,"FWMF"
"Jamie Leweling",9e+06,22,16,14,1523,4,4,"FWMF"
"Roberto Massimo",8e+05,22,16,14,84,0,0,"FWDF"
"Luca Raimund",5e+05,18,16,14,30,0,0,"FWMF"
"Serhou Guirassy",4e+07,27,77,14,2208,28,3,"FW"
"Deniz Undav",2.5e+07,27,16,14,2089,18,10,"FWMF"
"Matthijs de Ligt",6.5e+07,23,7,12,1390,2,0,"DF"
"Dayot Upamecano",4.5e+07,24,2,12,1762,1,0,"DF"
"Eric Dier",1.2e+07,29,5,12,1166,0,0,"DF"
"Alphonso Davies",5e+07,22,48,12,2065,2,5,"DF"
"Raphaël Guerreiro",1.2e+07,29,6,12,1191,3,0,"MFDF"
"Frans Krätzig",2e+06,20,16,12,56,0,0,"DF"
"Noussair Mazraoui",3e+07,25,12,12,1197,0,3,"DF"
"Sacha Boey",1.8e+07,22,2,12,109,0,0,"DF"
"Bouna Sarr",1500000,31,18,12,106,0,0,"DF"
"Joshua Kimmich",5e+07,28,16,12,2176,1,6,"MFDF"
"Aleksandar Pavlovic",3e+07,19,16,12,1227,2,2,"MF"
"Ryan Gravenberch",3.5e+07,21,7,12,10,0,0,"FW"
"Leon Goretzka",3e+07,28,16,12,2241,6,7,"MF"
"Konrad Laimer",3e+07,26,25,12,1772,0,3,"MFDF"
"Jamal Musiala",1.2e+08,20,16,12,1755,10,5,"FWMF"
"Lovro Zvonarek",3e+06,18,9,12,163,1,0,"FWMF"
"Kingsley Coman",5e+07,27,2,12,1113,3,3,"FW"
"Serge Gnabry",4e+07,28,16,12,432,3,1,"FWMF"
"Mathys Tel",4e+07,18,2,12,1050,7,5,"FWMF"
"Bryan Zaragoza",1.2e+07,22,8,12,183,0,0,"FWMF"
"Leroy Sané",7e+07,27,16,12,2137,8,11,"FW"
"Thomas Müller",8e+06,33,16,12,1654,5,9,"FWMF"
"Harry Kane",1e+08,30,5,12,2839,36,8,"FW"
"Castello Lukeba",4e+07,20,2,10,2191,1,0,"DF"
"Mohamed Simakan",3.5e+07,23,2,10,2138,2,3,"DF"
"El Chadaille Bitshiabu",1.2e+07,18,2,10,34,0,0,"MFDF"
"Lukas Klostermann",8e+06,27,16,10,1436,1,0,"DF"
"David Raum",2e+07,25,16,10,2739,2,8,"DF"
"Benjamin Henrichs",2e+07,26,16,10,2526,1,5,"DF"
"Xaver Schlager",2.8e+07,25,25,10,2477,0,5,"MF"
