"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Lucas Beraldo",3e+07,19,4,11,1008,1,0,"DF"
"Nuno Mendes",5.5e+07,21,6,11,267,1,1,"DF"
"Lucas Hernández",4e+07,27,2,11,1909,1,1,"DF"
"Layvin Kurzawa",1800000,30,2,11,9,0,0,"DF"
"Achraf Hakimi",6e+07,24,12,11,1932,4,5,"DF"
"Nordi Mukiele",1e+07,25,2,11,796,0,0,"DF"
"Yoram Zague",2500000,17,2,11,373,1,0,"DF"
"Danilo Pereira",8e+06,31,6,11,1995,0,0,"DF"
"Warren Zaïre-Emery",6e+07,17,2,11,1962,2,3,"MFDF"
"Carlos Soler",2e+07,26,8,11,1090,2,2,"MFDF"
"Senny Mayulu",5e+06,17,2,11,324,0,1,"FWMF"
"Cher Ndour",4e+06,19,10,11,28,0,0,"MF"
"Ethan Mbappé",1500000,16,2,11,48,0,0,"MFDF"
"Ousmane Dembélé",6e+07,26,2,11,1506,3,8,"FWMF"
"Marco Asensio",2e+07,27,8,11,1113,4,5,"FWMF"
"Kylian Mbappé",1.8e+08,24,2,11,2158,27,7,"FW"
"Gonçalo Ramos",5e+07,22,6,11,1419,11,1,"FW"
"Randal Kolo Muani",4.5e+07,24,2,11,1268,6,5,"FWMF"
"Wilfried Singo",2.5e+07,22,37,37,2187,1,1,"DF"
"Mohammed Salisu",1.5e+07,24,64,37,1035,0,1,"DF"
"Guillermo Maripán",1e+07,29,40,37,1767,1,0,"DF"
"Thilo Kehrer",1e+07,26,16,37,1323,1,1,"DF"
"Ismail Jakobs",8e+06,23,18,37,1466,1,2,"DF"
"Kassoum Ouattara",8e+06,18,2,37,636,1,0,"FWDF"
"Vanderson",2e+07,22,4,37,1641,3,1,"DF"
"Youssouf Fofana",3e+07,24,2,37,2697,4,4,"MF"
"Denis Zakaria",2.5e+07,26,19,37,2137,4,0,"MFDF"
"Mohamed Camara",2e+07,23,50,37,1035,1,2,"MF"
"Soungoutou Magassa",8e+06,19,2,37,1346,0,0,"MFDF"
"Eliot Matazo",5e+06,21,3,37,102,0,1,"MF"
"Edan Diop",2e+06,18,2,37,163,0,0,"MFDF"
"Mamadou Coulibaly",3e+05,19,2,37,118,0,0,"MF"
"Aleksandr Golovin",3e+07,27,33,37,2147,6,6,"FWMF"
"Saïmon Bouabré",2e+05,17,2,37,45,0,0,"MF"
"Takumi Minamino",2e+07,28,17,37,2117,9,6,"MF"
"Eliesse Ben Seghir",1.5e+07,18,12,37,428,2,1,"FWMF"
"Lucas Michal",1e+05,18,2,37,7,0,0,"FW"
"Maghnes Akliouche",2.5e+07,21,2,37,1613,7,4,"FWMF"
"Krépin Diatta",1.2e+07,24,18,37,1206,0,2,"FWDF"
"Folarin Balogun",3e+07,22,11,37,1692,7,5,"FW"
"Breel Embolo",1.2e+07,26,19,37,182,1,0,"FW"
"Wissam Ben Yedder",8e+06,32,2,37,2316,16,2,"FW"
"Myron Boadu",5e+06,22,7,37,85,1,0,"FW"
"Lilian Brassier",1.2e+07,23,2,70,2677,3,0,"DF"
"Brendan Chardonnet",8e+06,28,2,70,2970,1,1,"DF"
"Achraf Dari",2e+06,24,12,70,121,0,0,"FWDF"
"Bradley Locko",1.2e+07,21,2,70,2959,0,3,"DF"
"Jordan Amavi",1200000,29,2,70,91,1,0,"DF"
"Kenny Lala",3e+06,31,104,70,2970,2,3,"DF"
"Pierre Lees-Melou",1e+07,30,2,70,2517,4,0,"MF"
"Jonas Martin",1e+06,33,2,70,1208,0,1,"MF"
"Mahdi Camara",1e+07,25,2,70,2020,7,3,"MF"
"Hugo Magnetti",7e+06,25,2,70,2340,2,0,"MF"
"Karamoko Dembélé",9e+05,20,5,70,16,0,0,"FWMF"
"Adrien Lebeau",3e+05,24,2,70,54,0,1,"FWMF"
"Jérémy Le Douaron",5e+06,25,2,70,1618,4,0,"FW"
"Mathias Pereira Lage",2500000,26,6,70,1187,3,2,"FWMF"
"Axel Camblan",5e+05,19,2,70,90,0,0,"FW"
"Romain Del Castillo",1e+07,27,2,70,2497,8,8,"FW"
"Steve Mounié",6e+06,28,91,70,1769,6,2,"FW"
"Leny Yoro",5e+07,17,2,46,2673,2,0,"DF"
"Bafodé Diakité",1.8e+07,22,2,46,1696,5,2,"DF"
"Samuel Umtiti",2500000,29,2,46,185,0,0,"DF"
"Gabriel Gudmundsson",5e+06,24,28,46,1267,1,0,"FWDF"
"Ismaily",1800000,33,4,46,2465,1,1,"DF"
"Tiago Santos",1.5e+07,21,6,46,2365,1,2,"DF"
"Carlos Baleba",2.2e+07,19,49,46,61,0,0,"MF"
"Nabil Bentaleb",1e+07,28,44,46,1967,0,3,"MF"
"Benjamin André",8e+06,32,2,46,2570,4,0,"MF"
"Ayyoub Bouaddi",6e+06,15,2,46,131,0,0,"MF"
"Angel Gomes",2.5e+07,22,5,46,2571,0,8,"MF"
"Yusuf Yazıcı",1e+07,26,42,46,1312,5,2,"FWMF"
"Rémy Cabella",3500000,33,2,46,1477,2,2,"FWMF"
"Hákon Arnar Haraldsson",9e+06,20,70,46,1284,2,0,"FWMF"
"Ivan Cavaleiro",2e+06,29,6,46,770,1,1,"FW"
"Aaron Malouda",150000,17,2,46,1,0,0,"FW"
"Adam Ounas",4e+06,26,44,46,418,1,0,"FW"
"Ichem Ferrah",1e+05,17,2,46,3,0,0,"FW"
"Jonathan David",5e+07,23,48,46,2629,19,4,"FW"
"Andrej Ilic",3e+06,23,32,46,9,0,0,"FW"
"Trévis Dago",2e+05,18,37,46,23,0,1,"FWMF"
"Jean-Clair Todibo",3.5e+07,23,2,83,2651,0,2,"DF"
"Dante",5e+05,39,4,83,2843,1,1,"DF"
"Melvin Bard",1.2e+07,22,2,83,2654,1,2,"DF"
"Romain Perraud",5e+06,25,2,83,370,0,1,"FWDF"
"Jordan Lotomba",8e+06,24,19,83,1804,1,0,"DF"
"Youcef Atal",4300000,27,44,83,359,1,0,"DF"
"Valentin Rosier",4e+06,26,2,83,53,0,0,"MFDF"
"Antoine Mendy",8e+05,19,2,83,418,0,0,"DF"
"Youssouf Ndayishimiye",1.5e+07,24,140,83,1712,0,0,"MFDF"
"Pablo Rosario",8e+06,26,7,83,2009,0,0,"MFDF"
"Reda Belahyane",5e+05,19,12,83,27,0,0,"MF"
"Khéphren Thuram",3.5e+07,22,2,83,2108,1,1,"MF"
"Hicham Boudaoui",9e+06,23,44,83,1613,2,0,"MF"
"Morgan Sanson",8e+06,28,2,83,1964,2,3,"MF"
"Daouda Traoré",50000,17,2,83,16,0,0,"MF"
"Tom Louchet",3e+06,20,2,83,409,1,1,"MFDF"
"Alexis Claude-Maurice",3500000,25,2,83,504,0,0,"MF"
"Sofiane Diop",1.2e+07,23,2,83,499,0,0,"FW"
"Terem Moffi",2.5e+07,24,38,83,1949,11,2,"FW"
"Gaëtan Laborde",1e+07,29,2,83,1906,5,2,"FWMF"
"Evann Guessand",8e+06,22,37,83,1553,6,0,"FW"
"Jake O'Brien",1.2e+07,22,60,66,2369,4,2,"DF"
"Adryelson",4e+06,25,4,66,6,0,0,"FWDF"
"Dejan Lovren",1200000,34,9,66,718,0,0,"DF"
"Mamadou Sarr",1e+06,17,2,66,8,0,0,"DF"
"Nicolás Tagliafico",8e+06,30,1,66,2123,3,1,"DF"
"Diego Moreira",3e+06,18,6,66,270,0,0,"FWMF"
"Ainsley Maitland-Niles",9e+06,25,5,66,1432,1,4,"MFDF"
"Clinton Mata",4e+06,30,92,66,2220,0,3,"DF"
"Orel Mangala",2e+07,25,3,66,398,2,0,"MF"
"Johann Lepenant",6e+06,20,2,66,253,0,0,"MF"
"Skelly Alvero",4e+06,21,2,66,426,1,0,"MF"
"Paul Akouokou",1500000,25,37,66,307,0,0,"MF"
"Maxence Caqueret",2e+07,23,2,66,3022,1,3,"MF"
"Corentin Tolisso",5e+06,28,2,66,1741,2,1,"MF"
"Mahamadou Diawara",3e+06,18,2,66,358,0,0,"MF"
"Mohamed El Arouch",1500000,19,2,66,2,0,0,"FW"
"Rayan Cherki",2.5e+07,19,2,66,1719,1,6,"FWMF"
"Saïd Benrahma",2e+07,27,44,66,770,3,3,"FWMF"
"Malick Fofana",1.5e+07,18,3,66,559,3,0,"FW"
"Jeffinho",5e+06,23,4,66,308,1,1,"FWMF"
"Ernest Nuamah",1.8e+07,19,64,66,1838,3,2,"FWMF"
"Gift Orban",1.5e+07,21,38,66,474,1,0,"FW"
"Alexandre Lacazette",9e+06,32,2,66,2293,19,2,"FW"
"Amin Sarr",4e+06,22,28,66,98,0,0,"FWMF"
"Kevin Danso",2.5e+07,24,25,75,2655,1,0,"DF"
"Facundo Medina",2.5e+07,24,1,75,2714,1,3,"DF"
"Jonathan Gradit",4500000,30,2,75,2112,1,0,"DF"
"Abdukodir Khusanov",2500000,19,62,75,809,0,0,"DF"
"Deiver Machado",4e+06,29,12,75,1124,4,0,"DF"
"Faitout Maouassa",4e+06,25,2,75,76,0,0,"MFDF"
"Jhoanner Chávez",2e+06,21,30,75,481,0,0,"DF"
"Salis Abdul Samed",8e+06,23,64,75,1519,0,0,"MF"
"Nampalys Mendy",3e+06,31,18,75,1052,0,1,"MF"
"Andy Diouf",9e+06,20,2,75,1314,1,0,"MF"
"Neil El Aynaoui",8e+06,22,2,75,1566,1,2,"MF"
"Angelo Fulgini",7e+06,26,2,75,1376,1,2,"MF"
"Adrien Thomasson",5e+06,29,2,75,1193,1,2,"MF"
"Ayanda Sishuba",5e+05,18,3,75,62,0,0,"FWMF"
"Morgan Guilavogui",3e+06,25,77,75,566,2,0,"FWMF"
"Wesley Saïd",4e+06,28,2,75,1020,7,1,"FWMF"
"Florian Sotoca",3e+06,32,2,75,2598,7,6,"FWMF"
"Leonardo Balerdi",2e+07,24,1,71,2271,2,0,"DF"
"Chancel Mbemba",1.5e+07,28,61,71,2207,2,2,"DF"
"Samuel Gigot",9e+06,29,2,71,1726,3,0,"DF"
"Renan Lodi",1.8e+07,25,4,71,1235,0,0,"DF"
"Ulisses Garcia",4e+06,27,19,71,906,0,0,"DF"
"Emran Soglo",1e+06,18,5,71,109,1,1,"MFDF"
"Jonathan Clauss",1.2e+07,30,2,71,2068,3,4,"DF"
"Pape Gueye",6e+06,24,18,71,765,1,0,"MFDF"
"Jean Onana",4e+06,23,49,71,566,1,0,"MF"
